HOST_NAME ADDRESS RTT
dispersy1.st.tudelft.nl 130.161.119.206:6421 0.016950
dispersy1.st.tudelft.nl 130.161.119.206:6421 0.009439
dispersy1.st.tudelft.nl 130.161.119.206:6421 0.008882
dispersy1.st.tudelft.nl 130.161.119.206:6421 0.006910
dispersy1.st.tudelft.nl 130.161.119.206:6421 0.013113
dispersy1.st.tudelft.nl 130.161.119.206:6421 0.008218
dispersy1.st.tudelft.nl 130.161.119.206:6421 0.007902
dispersy1.st.tudelft.nl 130.161.119.206:6421 0.010702
dispersy1.st.tudelft.nl 130.161.119.206:6421 0.007538
dispersy1.st.tudelft.nl 130.161.119.206:6421 0.296966
dispersy2.st.tudelft.nl 130.161.119.206:6422 0.020798
dispersy2.st.tudelft.nl 130.161.119.206:6422 0.019101
dispersy2.st.tudelft.nl 130.161.119.206:6422 0.009448
dispersy2.st.tudelft.nl 130.161.119.206:6422 0.007186
dispersy2.st.tudelft.nl 130.161.119.206:6422 0.006462
dispersy2.st.tudelft.nl 130.161.119.206:6422 0.009736
dispersy2.st.tudelft.nl 130.161.119.206:6422 0.007547
dispersy2.st.tudelft.nl 130.161.119.206:6422 0.008722
dispersy2.st.tudelft.nl 130.161.119.206:6422 0.008250
dispersy2.st.tudelft.nl 130.161.119.206:6422 0.008842
* 131.180.27.161:6427 0.010681
* 131.180.27.161:6427 0.012957
* 131.180.27.161:6427 0.012796
* 131.180.27.161:6427 0.008350
* 131.180.27.161:6427 0.009275
* 131.180.27.161:6427 0.011933
* 131.180.27.161:6427 0.007941
* 131.180.27.161:6427 0.015299
* 131.180.27.161:6427 0.008404
* 131.180.27.161:6427 0.008588
dispersy7.tribler.org 95.211.155.142:6427 0.029156
dispersy7.tribler.org 95.211.155.142:6427 0.032839
dispersy7.tribler.org 95.211.155.142:6427 0.526466
dispersy7.tribler.org 95.211.155.142:6427 0.429506
dispersy7.tribler.org 95.211.155.142:6427 0.043109
dispersy7.tribler.org 95.211.155.142:6427 0.062254
dispersy7.tribler.org 95.211.155.142:6427 0.034684
dispersy7.tribler.org 95.211.155.142:6427 0.036675
dispersy7.tribler.org 95.211.155.142:6427 0.036174
dispersy7.tribler.org 95.211.155.142:6427 0.041256
dispersy8.tribler.org 95.211.155.131:6428 0.025617
dispersy8.tribler.org 95.211.155.131:6428 0.014011
dispersy8.tribler.org 95.211.155.131:6428 0.014194
dispersy8.tribler.org 95.211.155.131:6428 0.014665
dispersy8.tribler.org 95.211.155.131:6428 0.010980
dispersy8.tribler.org 95.211.155.131:6428 0.010484
dispersy8.tribler.org 95.211.155.131:6428 0.011838
dispersy8.tribler.org 95.211.155.131:6428 0.009836
dispersy8.tribler.org 95.211.155.131:6428 0.011922
dispersy8.tribler.org 95.211.155.131:6428 0.010827
dispersy4.tribler.org 83.149.70.6:6424 0.020827
dispersy4.tribler.org 83.149.70.6:6424 0.014505
dispersy4.tribler.org 83.149.70.6:6424 0.026920
dispersy4.tribler.org 83.149.70.6:6424 0.267634
dispersy4.tribler.org 83.149.70.6:6424 0.021544
dispersy4.tribler.org 83.149.70.6:6424 0.016202
dispersy4.tribler.org 83.149.70.6:6424 0.009952
dispersy4.tribler.org 83.149.70.6:6424 0.013320
dispersy4.tribler.org 83.149.70.6:6424 0.009970
dispersy4.tribler.org 83.149.70.6:6424 0.012003
dispersy3.st.tudelft.nl 131.180.27.155:6423 0.023480
dispersy3.st.tudelft.nl 131.180.27.155:6423 0.011039
dispersy3.st.tudelft.nl 131.180.27.155:6423 0.009326
dispersy3.st.tudelft.nl 131.180.27.155:6423 0.009133
dispersy3.st.tudelft.nl 131.180.27.155:6423 0.006724
dispersy3.st.tudelft.nl 131.180.27.155:6423 0.010189
dispersy3.st.tudelft.nl 131.180.27.155:6423 0.007503
dispersy3.st.tudelft.nl 131.180.27.155:6423 0.012135
dispersy3.st.tudelft.nl 131.180.27.155:6423 0.008107
dispersy3.st.tudelft.nl 131.180.27.155:6423 0.010766
