Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 01.07.2016 / Date de validation: cf. date de création

Valeurs mensuelles Pression atmosphérique à la station / hectopascal / Normales 1981-2010

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Aadorf / Tänikon	539	710515 / 259821	01.1981-12.2010	955.8	954.3	953.3	950.9	952.6	954.3	955.0	954.7	955.0	954.5	953.7	954.3	954.0
Acquarossa / Comprovasco	575	714998 / 146440	01.1981-12.2010	951.2	949.5	948.3	946.1	947.9	948.7	949.4	949.2	949.8	950.4	949.2	949.8	949.1
Adelboden	1326	609350 / 149001	01.1981-12.2010	866.9	865.5	865.5	863.9	866.8	869.4	870.8	870.5	869.6	868.1	865.9	865.7	867.4
Aigle	381	560401 / 130713	01.1981-12.2010	975.0	973.3	972.0	968.9	970.3	971.9	972.5	972.2	972.7	972.5	972.3	973.3	972.2
Altdorf	438	690174 / 193558	01.1981-12.2010	967.6	966.0	964.9	962.1	963.6	965.4	966.0	965.7	966.1	965.8	965.2	966.0	965.4
Arosa	1878	771030 / 184826	01.1981-12.2010	812.2	810.7	811.0	810.3	813.9	816.6	818.4	818.1	816.9	815.2	812.1	811.3	813.9
Bad Ragaz	496	756910 / 209351	01.1981-12.2010	961.1	959.5	958.3	955.7	957.2	958.9	959.7	959.5	959.8	959.5	958.9	959.6	959.0
Basel / Binningen	316	610911 / 265601	01.1981-12.2010	982.2	980.7	979.4	976.8	978.2	979.7	980.1	979.7	980.3	980.0	979.6	980.5	979.8
Bern / Zollikofen	552	601930 / 204410	01.1981-12.2010	954.5	952.9	951.9	949.3	951.0	952.8	953.5	953.2	953.4	952.9	952.2	952.9	952.5
Beznau	325	659808 / 267694	01.1981-12.2010	981.7	980.0	978.5	975.8	977.2	978.7	979.3	979.0	979.6	979.4	979.0	980.0	979.0
Buchs / Aarau	386	648389 / 248365	01.1981-12.2010	974.1	972.4	971.2	968.4	969.8	971.4	972.0	971.8	972.3	972.1	971.6	972.4	971.6
Bullet / La Frétaz	1205	534221 / 188081	01.1981-12.2010	879.9	878.6	878.5	876.8	879.5	882.0	883.3	882.9	882.2	880.8	878.8	878.7	880.2
Chasseral	1599	570847 / 220158	01.1981-12.2010	837.3	836.0	836.3	835.3	838.7	841.5	843.1	842.7	841.5	839.6	836.8	836.3	838.8
Chaumont	1136	565060 / 211006	01.1981-12.2010	895.0	893.7	893.5	891.8	894.4	896.8	897.9	897.6	897.1	895.8	893.9	893.8	895.1
Chur	556	759471 / 193157	01.1981-12.2010	954.6	952.9	951.6	948.9	950.5	952.2	953.0	952.8	953.2	952.9	952.3	953.0	952.3
Château-d'Oex	1029	577040 / 147655	01.1981-12.2010	905.3	904.0	903.5	901.4	903.7	905.8	906.8	906.6	906.2	905.3	903.8	904.0	904.7
Cimetta	1661	704433 / 117452	01.1981-12.2010	830.6	829.1	829.2	828.6	832.1	834.5	836.2	835.9	835.0	833.7	830.4	829.7	832.1
Col du Grand St-Bernard	2472	579200 / 79720	01.1981-12.2010	749.0	747.5	748.1	747.7	752.1	755.5	757.8	757.4	755.6	753.4	749.5	748.4	751.8
Davos	1594	783514 / 187458	01.1981-12.2010	838.5	837.0	837.0	836.0	839.3	841.8	843.4	843.1	842.2	840.7	838.0	837.5	839.5
Disentis / Sedrun	1197	708189 / 173789	01.1981-12.2010	881.5	879.9	879.5	878.0	880.6	882.7	884.0	883.7	883.3	882.4	880.4	880.3	881.4
Einsiedeln	910	699984 / 221069	01.1981-12.2010	912.9	911.6	911.2	909.1	911.4	913.7	914.7	914.4	914.1	913.1	911.5	911.6	912.4
Engelberg	1035	674157 / 186097	01.1981-12.2010	898.7	897.2	897.0	895.2	897.7	900.0	901.2	900.9	900.4	899.2	897.4	897.4	898.5
Evolène / Villa	1825	605415 / 106740	01.1981-12.2010	814.1	812.8	813.0	811.9	815.4	818.3	820.2	819.8	818.5	816.8	813.9	813.3	815.7
Fahy	596	562458 / 252676	01.1981-12.2010	948.7	947.4	946.6	944.3	946.1	948.0	948.6	948.2	948.4	947.6	946.7	947.2	947.3
Fribourg / Posieux	646	575182 / 180076	01.1981-12.2010	943.0	941.5	940.7	938.2	939.9	941.9	942.6	942.3	942.4	941.9	941.0	941.5	941.4
Genève-Cointrin	412	498905 / 122632	01.1981-12.2010	971.6	969.9	968.5	965.4	966.9	968.4	969.0	968.7	969.1	969.1	968.8	969.8	968.8
Glarus	516	723752 / 210568	01.1981-12.2010	958.6	957.0	955.8	953.1	954.7	956.5	957.3	957.0	957.3	956.9	956.3	957.1	956.5
Grimsel Hospiz	1980	668583 / 158215	01.1981-12.2010	800.9	799.4	799.8	799.2	802.9	805.8	807.7	807.4	806.0	804.2	800.9	800.1	802.9
Gstaad	1045	588260 / 146165	01.1981-12.2010	898.2	896.7	896.4	894.3	896.8	899.0	900.3	900.0	899.4	898.4	896.8	896.8	897.8
Gütsch ob Andermatt	2283	690050 / 167475	01.1981-12.2010	768.0	766.5	767.1	766.8	771.0	774.2	776.3	776.0	774.3	772.3	768.4	767.3	770.7
Güttingen	440	738420 / 273960	01.1981-12.2010	967.5	966.0	964.7	962.1	963.6	965.3	965.9	965.6	966.1	965.8	965.2	965.9	965.3
Hallau	419	677456 / 283472	01.1981-12.2010	970.0	968.5	967.3	964.6	966.2	967.8	968.4	968.1	968.6	968.3	967.7	968.4	967.8
Hinterrhein	1611	733900 / 153980	01.1981-12.2010	836.5	835.0	835.0	834.1	837.4	839.8	841.3	840.9	840.0	838.8	836.1	835.6	837.5
Hörnli	1144	713515 / 247755	01.1981-12.2010	887.6	886.3	886.2	884.7	887.4	889.7	890.8	890.5	889.9	888.5	886.5	886.4	887.9
