Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 02.01.2018 / Date de validation: cf. date de création

Valeurs mensuelles Pression de vapeur d'eau à 2m / hectopascal / Normales 1981-2010

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Aadorf / Tänikon	539	710515 / 259821	01.1981-12.2010	5.4	5.5	6.6	7.9	10.8	13.3	15.1	15.1	12.7	10.2	7.2	5.9	9.6
Acquarossa / Comprovasco	575	714998 / 146440	01.1981-12.2010	4.7	4.8	5.8	7.8	11.3	14.0	16.0	16.1	13.4	10.4	6.8	5.1	9.7
Adelboden	1326	609350 / 149001	01.1981-12.2010	3.7	3.7	4.6	5.9	8.3	10.6	12.2	12.1	10.0	7.6	5.1	4.1	7.3
Aigle	381	560401 / 130713	01.1981-12.2010	5.5	5.7	6.9	8.3	11.7	14.2	16.1	16.2	13.6	10.6	7.5	5.9	10.2
Altdorf	438	690174 / 193558	01.1981-12.2010	5.3	5.4	6.5	7.9	10.9	13.8	16.0	15.9	13.1	10.2	7.2	5.8	9.8
Andermatt	1438	687444 / 165044	01.1981-12.2010	3.9	4.0	4.9	5.8	7.8	9.6	11.1	11.1	9.1	7.1	5.1	4.1	7.0
Arosa	1878	771030 / 184826	01.1981-12.2010	3.0	3.0	3.7	4.6	6.6	8.4	9.8	9.8	7.9	5.9	4.1	3.3	5.8
Bad Ragaz	496	756910 / 209351	01.1981-12.2010	4.4	4.7	6.1	7.5	10.6	13.5	15.4	15.4	12.5	9.5	6.4	4.9	9.2
Basel / Binningen	316	610911 / 265601	01.1981-12.2010	5.8	5.9	7.0	8.4	11.6	14.1	15.9	15.9	13.5	10.9	7.8	6.3	10.3
Bern / Zollikofen	552	601930 / 204410	01.1981-12.2010	5.3	5.4	6.5	7.9	10.9	13.3	15.1	15.0	12.7	10.1	7.1	5.7	9.6
Biel/Bienne	433	586260 / 218840	01.1981-12.2010	5.0	5.0	5.9	7.2	10.0	12.2	13.9	13.7	11.5	9.4	6.7	5.5	8.8
Blatten, Lötschental	1538	629564 / 141084	01.1981-12.2010	3.0	3.2	3.8	4.6	6.7	8.5	9.8	9.8	8.1	6.4	4.4	3.5	6.0
Buchs / Aarau	386	648389 / 248365	01.1981-12.2010	5.6	5.6	6.8	8.1	11.2	13.7	15.5	15.5	13.1	10.6	7.5	6.1	9.9
Buffalora	1968	816494 / 170225	01.1981-12.2010	2.5	2.5	3.2	4.1	5.9	7.2	8.4	8.5	7.0	5.5	3.7	2.8	5.1
