Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 02.01.2018 / Date de validation: cf. date de création

Valeurs mensuelles Pression de vapeur d'eau à 2m / hectopascal / Normales 1981-2010

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Bullet / La Frétaz	1205	534221 / 188081	01.1981-12.2010	4.5	4.4	5.3	6.4	8.9	11.0	12.5	12.4	10.6	8.4	5.8	4.8	7.9
Chasseral	1599	570847 / 220158	01.1981-12.2010	3.7	3.7	4.5	5.6	7.8	9.8	11.2	11.1	9.2	7.1	4.9	4.1	6.9
Chaumont	1136	565060 / 211006	01.1981-12.2010	4.7	4.7	5.5	6.6	9.1	11.3	12.7	12.7	10.9	8.6	6.1	5.0	8.2
Chur	556	759466 / 193153	01.1981-12.2010	4.7	4.8	5.9	7.2	10.1	12.7	14.6	14.7	12.1	9.3	6.5	5.2	9.0
Château-d'Oex	1029	577040 / 147655	01.1981-12.2010	4.4	4.5	5.5	6.7	9.4	11.4	12.9	12.8	10.9	8.7	6.0	4.8	8.2
Cimetta	1661	704433 / 117452	01.1981-12.2010	3.2	3.2	4.0	5.4	7.8	10.0	11.8	11.8	9.7	7.3	4.8	3.5	6.9
Col du Grand St-Bernard	2472	579200 / 79720	01.1981-12.2010	2.3	2.4	3.0	3.9	5.4	6.7	8.0	8.0	6.5	5.0	3.3	2.6	4.8
Davos	1594	783514 / 187458	01.1981-12.2010	3.4	3.3	4.1	5.0	7.0	8.9	10.4	10.5	8.5	6.5	4.6	3.8	6.3
Delémont	439	593269 / 244543	01.1981-12.2010	5.6	5.7	6.7	8.1	11.1	13.5	15.0	15.0	12.9	10.5	7.6	6.1	9.8
Disentis	1197	708189 / 173789	01.1981-12.2010	3.9	3.9	4.8	6.0	8.3	10.4	12.0	12.2	10.0	7.7	5.5	4.3	7.4
Ebnat-Kappel	623	726347 / 237176	01.1981-12.2010	5.2	5.5	6.7	8.1	11.1	13.7	15.4	15.4	12.9	10.2	7.3	5.8	9.8
Einsiedeln	910	699984 / 221069	01.1981-12.2010	5.0	5.0	6.1	7.4	10.3	12.6	14.4	14.3	12.0	9.6	6.8	5.5	9.1
Elm	958	732265 / 198425	01.1981-12.2010	4.1	4.2	5.2	6.4	9.0	11.6	13.6	13.6	11.0	8.4	5.7	4.5	8.1
Engelberg	1035	674157 / 186097	01.1981-12.2010	4.2	4.3	5.3	6.6	9.2	11.8	13.6	13.5	11.2	8.5	5.9	4.6	8.2
Evolène / Villa	1825	605415 / 106740	01.1981-12.2010	2.6	2.7	3.4	4.5	6.5	8.3	9.4	9.4	7.7	5.8	3.8	3.0	5.6
Fahy	596	562458 / 252676	01.1981-12.2010	5.4	5.4	6.3	7.6	10.5	12.9	14.5	14.3	12.3	10.0	7.2	5.9	9.4
Fribourg / Posieux	646	575182 / 180076	01.1981-12.2010	5.8	5.8	6.8	7.9	10.8	12.8	14.2	14.1	12.2	10.1	7.4	6.1	9.5
Genève / Cointrin	410	498905 / 122632	01.1981-12.2010	5.7	5.7	6.6	7.9	11.0	13.3	14.9	14.9	12.9	10.6	7.5	6.1	9.8
Glarus	516	723752 / 210568	01.1981-12.2010	4.9	5.0	6.2	7.6	10.6	13.4	15.3	15.4	12.8	9.9	6.8	5.4	9.4
Grimsel Hospiz	1980	668583 / 158215	01.1981-12.2010	2.7	2.7	3.4	4.4	6.1	7.9	9.2	9.2	7.4	5.6	3.9	3.0	5.5
Grono	323	733017 / 124090	01.1981-12.2010	5.4	5.6	6.9	9.0	12.8	15.9	17.7	17.5	14.2	11.2	7.6	5.8	10.8
Grächen	1605	630739 / 116062	01.1981-12.2010	3.4	3.6	4.2	5.1	7.1	8.6	9.8	9.8	8.2	6.4	4.4	3.7	6.2
Gstaad	1045	588260 / 146165	01.1981-12.2010	4.1	4.3	5.1	6.2	8.9	10.8	12.4	12.4	10.4	8.2	5.8	4.6	7.8
Gütsch, Andermatt	2283	690050 / 167475	01.1981-12.2010	2.5	2.5	3.2	4.1	5.8	7.4	8.8	8.8	7.0	5.2	3.6	2.8	5.1
Güttingen	440	738420 / 273960	01.1981-12.2010	5.8	5.8	7.1	8.6	11.8	14.5	16.5	16.5	13.9	11.1	7.9	6.3	10.5
Hallau	419	677456 / 283472	01.1981-12.2010	6.1	6.1	7.3	8.7	11.6	14.0	15.6	15.4	13.2	10.8	7.9	6.6	10.3
Hinterrhein	1611	733900 / 153980	01.1981-12.2010	2.8	2.9	3.8	4.9	6.9	8.7	10.3	10.3	8.3	6.3	4.3	3.2	6.1
Hörnli	1144	713515 / 247755	01.1981-12.2010	4.4	4.3	5.4	6.4	9.1	11.4	13.1	13.0	11.1	8.5	5.9	4.8	8.1
Interlaken	577	633019 / 169093	01.1981-12.2010	5.1	5.2	6.4	7.9	11.2	13.9	15.9	15.8	13.1	10.2	7.1	5.6	9.8
Jungfraujoch	3580	641930 / 155275	01.1981-12.2010	1.4	1.4	1.6	2.0	3.1	3.8	4.4	4.4	3.4	2.7	1.9	1.6	2.6
Koppigen	484	612662 / 218664	01.1981-12.2010	5.4	5.5	6.7	8.0	11.0	13.4	15.0	14.9	12.6	10.2	7.2	5.9	9.7
La Brévine	1050	536982 / 203974	01.1981-12.2010	4.3	4.3	5.2	6.4	9.0	11.0	12.5	12.2	10.2	8.1	5.8	4.7	7.8
La Chaux-de-Fonds	1017	550919 / 214861	01.1981-12.2010	4.7	4.7	5.5	6.6	9.2	11.3	12.9	12.7	10.8	8.6	6.2	5.1	8.2
La Dôle	1669	497061 / 142362	01.1981-12.2010	3.7	3.6	4.5	5.5	7.7	9.6	11.0	10.9	9.1	7.0	4.9	4.0	6.8
Langnau i.E.	745	628005 / 198792	01.1981-12.2010	5.3	5.4	6.6	7.9	10.6	13.0	14.6	14.5	12.4	10.0	7.2	5.8	9.4
Le Moléson	1974	567723 / 155072	01.1981-12.2010	3.1	3.1	3.9	4.9	6.9	8.7	10.1	9.9	8.1	6.1	4.1	3.4	6.0
Locarno / Monti	366	704160 / 114350	01.1981-12.2010	5.0	5.0	5.9	7.9	11.3	14.1	16.1	16.3	13.7	10.9	7.2	5.4	9.9
Lugano	273	717874 / 95884	01.1981-12.2010	5.7	5.8	6.9	9.0	12.6	15.6	17.7	17.8	14.9	11.9	8.1	6.1	11.0
Luzern	454	665540 / 209848	01.1981-12.2010	5.4	5.5	6.7	8.1	11.2	13.8	15.8	15.9	13.4	10.6	7.4	6.0	10.0
Lägern	845	672250 / 259460	01.1981-12.2010	5.1	5.2	6.1	7.1	9.7	12.0	13.6	13.7	11.7	9.6	6.8	5.5	8.8
Magadino / Cadenazzo	203	715480 / 113162	01.1981-12.2010	5.1	5.3	6.5	8.8	12.6	15.7	17.9	18.0	14.8	11.5	7.5	5.5	10.8
Meiringen	588	655844 / 175930	01.1981-12.2010	4.9	5.0	6.1	7.5	10.4	13.1	15.0	14.8	12.1	9.5	6.7	5.3	9.2
Montana	1427	601706 / 127482	01.1981-12.2010	3.6	3.5	4.3	5.3	7.6	9.6	11.1	11.1	9.4	7.2	5.0	3.9	6.8
Napf	1403	638133 / 206079	01.1981-12.2010	3.9	4.0	5.0	6.1	8.6	10.7	12.2	12.1	10.2	7.8	5.3	4.3	7.5
Neuchâtel	485	563087 / 205560	01.1981-12.2010	5.6	5.6	6.5	7.8	10.8	13.1	14.8	14.9	12.8	10.5	7.4	6.1	9.7
Nyon / Changins	455	506880 / 139573	01.1981-12.2010	5.6	5.6	6.5	7.8	10.8	13.1	14.6	14.6	12.6	10.4	7.3	6.0	9.6
Passo del Bernina	2260	798422 / 143020	01.1981-12.2010	2.2	2.3	2.9	3.8	5.5	7.1	8.5	8.7	7.0	5.2	3.3	2.4	4.9
Payerne	490	562127 / 184612	01.1981-12.2010	5.5	5.6	6.6	8.0	11.1	13.5	15.1	15.1	12.9	10.5	7.3	5.9	9.8
Pilatus	2106	661910 / 203410	01.1981-12.2010	2.7	2.7	3.6	4.6	6.6	8.4	9.7	9.5	7.5	5.5	3.8	3.1	5.6
Piotta	990	695888 / 152261	01.1981-12.2010	4.0	4.0	4.7	6.0	8.7	10.8	12.7	12.9	10.7	8.4	5.5	4.3	7.7
Piz Corvatsch	3302	783151 / 143522	01.1981-12.2010	1.6	1.6	2.0	2.6	3.8	4.8	5.6	5.6	4.4	3.3	2.3	1.8	3.3
Plaffeien	1042	586808 / 177400	01.1981-12.2010	4.4	4.4	5.4	6.7	9.3	11.3	13.0	12.8	11.0	8.7	6.0	4.8	8.2
Poschiavo / Robbia	1078	801850 / 136180	01.1981-12.2010	3.7	3.8	4.6	6.1	9.0	11.2	12.9	13.0	10.8	8.3	5.5	4.1	7.8
Pully	455	540811 / 151514	01.1981-12.2010	5.9	5.9	6.9	8.3	11.4	13.9	15.8	15.9	13.6	11.1	7.8	6.4	10.2
Robièi	1896	682588 / 144091	01.1981-12.2010	2.7	2.7	3.4	4.3	6.0	7.6	9.2	9.3	7.7	5.9	3.9	3.0	5.5
Rünenberg	611	633246 / 253846	01.1981-12.2010	5.3	5.3	6.3	7.5	10.4	12.8	14.6	14.5	12.4	9.9	7.0	5.7	9.3
S. Bernardino	1638	734112 / 147296	01.1981-12.2010	3.0	3.0	3.8	5.0	7.1	9.0	10.6	10.6	8.6	6.7	4.5	3.4	6.3
Salen-Reutenen	718	719099 / 279047	01.1981-12.2010	5.4	5.4	6.6	7.8	10.6	13.0	14.8	15.0	12.8	10.4	7.5	6.0	9.6
Samedan	1708	787250 / 155685	01.1981-12.2010	2.6	2.7	3.6	4.7	6.6	8.3	9.5	9.6	7.8	6.0	4.0	3.0	5.7
Schaffhausen	438	688698 / 282796	01.1981-12.2010	5.5	5.6	6.7	7.9	10.8	13.3	15.0	15.1	12.8	10.4	7.4	6.0	9.7
Scuol	1303	817135 / 186393	01.1981-12.2010	3.4	3.4	4.2	5.3	7.5	9.4	10.9	11.1	9.1	7.2	4.9	3.8	6.7
Segl-Maria	1804	778575 / 144976	01.1981-12.2010	2.8	2.8	3.6	4.6	6.6	8.3	9.6	9.7	7.9	6.1	4.2	3.3	5.8
Sion	482	591630 / 118575	01.1981-12.2010	4.9	5.0	6.1	7.5	10.6	13.0	14.9	15.0	12.6	9.9	6.8	5.4	9.3
St. Gallen	775	747865 / 254588	01.1981-12.2010	4.9	4.9	5.9	7.1	9.9	12.4	14.1	14.2	11.9	9.5	6.6	5.3	8.9
Sta. Maria, Val Müstair	1383	828861 / 165580	01.1981-12.2010	3.3	3.3	4.1	5.2	7.5	9.3	10.8	11.1	9.0	7.1	4.6	3.6	6.6
Stabio	353	716050 / 77966	01.1981-12.2010	5.1	5.2	6.5	8.6	12.2	15.3	17.7	18.0	14.7	11.6	7.7	5.6	10.7
Säntis	2502	744200 / 234920	01.1981-12.2010	2.4	2.3	3.0	3.8	5.4	6.8	7.9	7.9	6.2	4.7	3.3	2.7	4.7
Ulrichen	1345	666740 / 150760	01.1981-12.2010	3.3	3.4	4.4	5.4	7.5	9.4	10.9	11.0	9.1	7.1	4.9	3.7	6.7
Vaduz	457	757719 / 221697	01.1981-12.2010	4.8	5.0	6.3	7.6	10.7	13.5	15.5	15.6	12.8	9.9	6.8	5.4	9.5
Visp	639	631149 / 128020	01.1981-12.2010	4.4	4.6	5.6	6.7	9.5	11.9	13.6	13.8	11.5	8.9	6.2	4.9	8.5
Weissfluhjoch	2691	780615 / 189634	01.1981-12.2010	2.0	2.0	2.6	3.4	4.9	6.3	7.3	7.4	5.8	4.4	2.9	2.3	4.3
Wynau	422	626400 / 233850	01.1981-12.2010	5.6	5.6	6.8	8.1	11.3	13.8	15.7	15.7	13.1	10.5	7.4	6.0	10.0
Wädenswil	485	693847 / 230744	01.1981-12.2010	5.6	5.6	6.7	8.1	11.1	13.7	15.6	15.7	13.3	10.7	7.5	6.1	10.0
Zermatt	1638	624350 / 97560	01.1981-12.2010	2.8	2.8	3.5	4.4	6.5	8.3	9.4	9.5	7.9	5.9	4.0	3.2	5.7
Zürich / Affoltern	443	681428 / 253546	01.1981-12.2010	5.6	5.6	6.8	8.1	11.2	13.7	15.5	15.6	13.0	10.5	7.5	6.1	9.9
Zürich / Fluntern	555	685117 / 248066	01.1981-12.2010	5.6	5.6	6.7	7.9	10.9	13.3	15.2	15.2	13.0	10.5	7.5	6.1	9.8
Zürich / Kloten	426	682710 / 259339	01.1981-12.2010	5.5	5.5	6.7	8.0	11.1	13.5	15.3	15.3	12.9	10.4	7.3	6.0	9.8

