Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 02.01.2018 / Date de validation: cf. date de création

Valeurs mensuelles Durée d'ensoleillement absolu / heures / Normales 1981-2010

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Aadorf / Tänikon	539	710515 / 259821	01.1981-12.2010	50.1	75.1	121.3	151.6	175.8	190.8	217.2	198.3	144.4	96.3	50.8	33.6	1505.4
Acquarossa / Comprovasco	575	714998 / 146440	01.1981-12.2010	87.1	96.5	129.8	126.6	122.4	148.5	172.0	155.9	128.2	97.6	77.1	76.7	1418.4
Adelboden	1326	609350 / 149001	01.1981-12.2010	90.0	98.9	124.8	132.5	151.2	161.4	186.2	169.7	146.6	121.2	83.8	78.5	1544.7
Aigle	381	560401 / 130713	01.1981-12.2010	89.0	102.9	149.9	160.2	169.9	193.6	221.8	205.7	173.4	139.4	88.3	76.2	1770.4
Altdorf	438	690174 / 193558	01.1981-12.2010	43.6	75.5	116.1	131.8	148.9	152.3	168.8	152.9	132.4	106.1	56.5	34.1	1318.9
Arosa	1878	771030 / 184826	01.1981-12.2010	107.7	114.8	138.4	141.0	158.7	158.9	195.2	180.8	152.7	141.6	98.6	87.3	1675.7
Basel / Binningen	316	610911 / 265601	01.1981-12.2010	67.1	80.5	119.2	149.1	175.0	196.2	222.8	206.3	150.1	104.3	68.0	51.8	1590.3
Bern / Zollikofen	552	601930 / 204410	01.1981-12.2010	64.4	87.0	136.0	158.2	182.0	205.6	237.0	217.3	165.4	113.3	68.0	49.0	1683.2
Buchs / Aarau	386	648389 / 248365	01.1981-12.2010	38.6	68.9	119.3	151.8	174.7	193.8	219.3	198.6	143.7	84.9	43.3	29.6	1466.4
Bullet / La Frétaz	1205	534221 / 188081	01.1981-12.2010	91.9	99.7	133.7	146.4	164.7	188.2	217.2	198.3	153.8	122.3	89.9	79.9	1685.9
Chasseral	1599	570847 / 220158	01.1981-12.2010	104.6	105.5	127.4	142.6	151.1	166.0	197.3	182.2	147.8	132.1	99.2	88.5	1644.4
Chur	556	759466 / 193153	01.1981-12.2010	96.7	111.8	139.5	147.4	168.9	177.4	202.9	184.9	155.1	134.5	92.9	80.5	1692.5
Cimetta	1661	704433 / 117452	01.1981-12.2010	152.5	155.3	188.5	166.6	169.7	205.8	235.6	216.3	168.3	148.3	130.4	135.1	2072.3
Col du Grand St-Bernard	2472	579200 / 79720	01.1981-12.2010	55.2	105.9	151.3	139.1	149.2	182.9	212.3	198.4	159.9	124.9	66.5	25.4	1570.9
Davos	1594	783514 / 187458	01.1981-12.2010	110.9	121.4	144.3	138.0	151.2	162.1	187.0	175.3	158.7	148.7	104.4	93.4	1695.5
Disentis	1197	708189 / 173789	01.1981-12.2010	86.7	98.2	130.9	129.5	143.3	167.0	195.4	180.6	153.6	120.1	78.6	72.9	1557.0
Engelberg	1035	674157 / 186097	01.1981-12.2010	51.3	90.9	122.4	133.3	145.3	150.5	165.2	152.2	131.7	114.2	61.5	31.3	1349.8
Evolène / Villa	1825	605415 / 106740	01.1981-12.2010	109.0	115.2	146.2	150.1	170.1	182.7	211.4	193.1	168.1	143.9	106.4	99.1	1795.3
Fahy	596	562458 / 252676	01.1981-12.2010	63.3	80.8	116.4	150.9	173.5	201.2	232.8	214.3	149.4	108.1	68.1	50.0	1608.9
Genève / Cointrin	410	498905 / 122632	01.1981-12.2010	55.3	83.6	147.6	170.3	192.0	232.6	259.5	228.4	175.9	111.1	63.5	47.8	1767.6
Glarus	516	723752 / 210568	01.1981-12.2010	61.4	68.0	88.4	123.9	151.7	152.8	170.7	154.8	106.3	86.3	59.0	50.8	1274.1
Grimsel Hospiz	1980	668583 / 158215	01.1981-12.2010	70.8	93.2	117.3	104.9	128.5	150.8	173.0	163.0	134.0	114.1	63.3	58.1	1371.0
Gütsch, Andermatt	2283	690050 / 167475	01.1981-12.2010	124.6	129.0	149.2	137.2	154.5	179.2	215.5	203.5	170.1	148.0	108.3	110.2	1829.4
Güttingen	440	738420 / 273960	01.1981-12.2010	47.3	79.6	140.9	182.7	211.7	222.7	251.4	222.4	156.0	96.6	53.0	38.1	1702.4
Hinterrhein	1611	733900 / 153980	01.1981-12.2010	58.8	93.8	117.0	112.2	149.3	165.7	193.0	173.6	127.5	102.9	58.1	39.2	1391.1
Hörnli	1144	713515 / 247755	01.1981-12.2010	90.1	95.6	121.7	140.8	160.5	174.3	211.7	195.1	149.7	119.9	81.1	67.3	1607.9
Interlaken	577	633019 / 169093	01.1981-12.2010	66.9	79.3	120.6	151.1	176.4	187.7	219.0	193.0	150.3	104.4	67.9	53.2	1569.8
Jungfraujoch	3580	641930 / 155275	01.1981-12.2010	123.6	124.5	150.7	156.0	160.8	175.0	197.0	196.4	176.3	146.8	115.9	108.6	1831.6
La Chaux-de-Fonds	1017	550919 / 214861	01.1981-12.2010	100.4	105.9	133.8	149.6	159.1	180.1	211.8	200.4	157.9	131.3	97.4	82.5	1710.2
La Dôle	1669	497061 / 142362	01.1981-12.2010	113.6	115.7	137.3	141.5	151.7	178.2	205.4	192.3	161.5	139.1	108.6	98.8	1743.5
Le Moléson	1974	567723 / 155072	01.1981-12.2010	129.1	133.8	146.3	150.8	152.9	165.6	194.1	187.4	164.5	157.6	124.1	112.4	1818.6
Locarno / Monti	366	704160 / 114350	01.1981-12.2010	135.0	149.2	196.1	183.6	192.5	229.2	259.4	244.5	193.6	151.2	118.2	118.7	2171.2
Lugano	273	717874 / 95884	01.1981-12.2010	124.8	137.7	186.2	171.1	186.5	221.8	254.7	240.0	186.5	139.8	110.4	107.6	2067.1
Luzern	454	665540 / 209848	01.1981-12.2010	47.4	71.6	122.2	140.7	161.2	170.6	200.7	187.1	136.8	97.3	51.6	36.4	1423.5
Lägern	845	672250 / 259460	01.1981-12.2010	69.2	91.0	127.9	157.6	186.2	207.2	232.9	210.9	161.2	109.9	71.4	53.6	1679.0
Magadino / Cadenazzo	203	715480 / 113162	01.1981-12.2010	112.4	141.9	190.3	179.1	189.8	227.8	260.3	243.5	188.9	146.1	100.7	82.5	2063.3
Montana	1427	601706 / 127482	01.1981-12.2010	136.8	141.1	175.0	179.5	196.1	215.7	248.4	229.6	200.8	172.2	126.4	121.4	2143.1
Napf	1403	638133 / 206079	01.1981-12.2010	106.3	104.2	125.9	129.8	144.8	160.2	187.5	178.6	144.2	130.6	93.9	83.9	1589.9
Neuchâtel	485	563087 / 205560	01.1981-12.2010	45.1	80.7	137.3	164.7	185.4	207.8	238.0	221.2	166.2	99.1	56.8	39.3	1641.4
Nyon / Changins	455	506880 / 139573	01.1981-12.2010	63.7	93.6	155.5	177.4	196.6	232.4	259.0	233.1	185.1	121.5	72.5	53.8	1844.2
Payerne	490	562127 / 184612	01.1981-12.2010	53.5	83.6	143.3	168.7	192.2	220.6	248.1	226.9	169.3	107.0	61.4	44.3	1718.9
Pilatus	2106	661910 / 203410	01.1981-12.2010	123.1	129.8	142.7	136.7	145.7	133.4	158.6	156.2	151.6	159.3	115.4	105.4	1657.9
Piotta	990	695888 / 152261	01.1981-12.2010	24.7	105.8	154.5	150.3	135.5	179.2	202.6	190.4	158.4	112.3	50.3	NA	NA
Piz Corvatsch	3302	783151 / 143522	01.1981-12.2010	148.9	160.4	188.2	170.5	177.0	181.9	216.3	195.4	180.9	179.2	135.1	129.6	2063.5
Plaffeien	1042	586808 / 177400	01.1981-12.2010	100.9	114.9	145.2	156.9	174.9	202.4	235.7	219.0	166.3	130.2	94.9	82.1	1823.5
Poschiavo / Robbia	1078	801850 / 136180	01.1981-12.2010	94.6	102.7	131.7	124.7	131.3	149.7	170.8	151.4	122.3	106.8	85.3	78.8	1450.1
Pully	455	540811 / 151514	01.1981-12.2010	71.6	96.9	158.9	179.0	200.9	228.5	252.2	234.4	183.3	128.3	79.2	58.2	1871.6
Robièi	1896	682588 / 144091	01.1981-12.2010	93.0	99.8	126.9	119.9	121.3	158.9	172.3	153.3	130.7	103.0	80.5	73.0	1432.8
Rünenberg	611	633246 / 253846	01.1981-12.2010	65.4	84.1	125.4	155.6	180.6	199.0	225.1	207.4	155.8	106.2	65.9	49.4	1619.7
S. Bernardino	1638	734112 / 147296	01.1981-12.2010	96.1	103.8	132.8	114.5	118.6	142.2	163.3	151.0	131.8	108.7	83.8	83.4	1430.1
Samedan	1708	787250 / 155685	01.1981-12.2010	117.1	120.6	139.6	138.2	157.8	175.7	200.4	179.9	154.5	140.4	105.6	103.1	1732.9
Schaffhausen	438	688698 / 282796	01.1981-12.2010	39.4	70.9	113.8	147.0	175.2	191.5	213.7	195.0	141.9	85.3	43.3	30.9	1447.9
Scuol	1303	817135 / 186393	01.1981-12.2010	97.3	118.6	156.6	162.9	172.9	181.5	215.0	195.0	165.1	143.9	93.2	77.1	1779.2
Sion	482	591630 / 118575	01.1981-12.2010	92.0	123.6	175.8	196.8	218.5	245.1	269.5	244.2	203.8	157.7	98.2	68.4	2093.5
St. Gallen	775	747865 / 254588	01.1981-12.2010	58.5	79.5	120.2	151.9	176.8	183.8	218.5	199.4	145.3	99.6	58.6	42.5	1534.8
Stabio	353	716050 / 77966	01.1981-12.2010	112.9	127.7	168.1	156.6	170.3	207.2	240.4	221.5	161.1	117.9	98.3	97.7	1879.9
Säntis	2502	744200 / 234920	01.1981-12.2010	135.0	137.9	148.9	150.6	167.2	155.3	175.6	169.3	161.2	168.5	124.8	115.1	1809.3
Ulrichen	1345	666740 / 150760	01.1981-12.2010	77.7	107.8	143.6	141.6	160.3	188.3	214.8	194.0	166.5	135.7	76.6	61.4	1668.3
Vaduz	457	757719 / 221697	01.1981-12.2010	70.0	90.8	123.8	144.4	166.1	169.9	193.7	176.5	145.1	116.1	68.2	52.0	1516.5
Visp	639	631149 / 128020	01.1981-12.2010	NA	113.9	181.7	201.9	219.9	235.6	266.6	247.3	209.3	153.7	NA	NA	NA
Weissfluhjoch	2691	780615 / 189634	01.1981-12.2010	133.6	139.9	150.3	141.1	157.8	153.2	179.6	167.9	155.7	163.3	123.6	116.0	1782.1
Wynau	422	626400 / 233850	01.1981-12.2010	41.3	78.0	137.3	170.0	199.2	216.7	246.0	222.3	160.0	96.8	50.3	34.1	1652.0
Wädenswil	485	693847 / 230744	01.1981-12.2010	52.0	79.8	131.7	163.4	186.9	198.5	224.0	206.2	150.6	103.8	56.8	40.9	1594.6
Zermatt	1638	624350 / 97560	01.1981-12.2010	95.8	112.2	151.0	145.3	156.3	172.9	194.6	181.9	161.6	135.8	92.2	85.2	1684.7
Zürich / Affoltern	443	681428 / 253546	01.1981-12.2010	45.8	73.5	121.3	155.5	181.8	199.7	226.1	205.2	148.6	91.1	48.7	33.1	1530.7
Zürich / Fluntern	555	685117 / 248066	01.1981-12.2010	55.2	81.2	123.7	152.8	174.9	189.1	215.2	199.7	150.1	101.6	58.7	41.6	1543.8
Zürich / Kloten	426	682710 / 259339	01.1981-12.2010	48.0	77.1	125.0	159.0	186.0	204.2	229.9	208.3	151.1	92.7	50.0	34.9	1566.0

