Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 16.01.2017 / Date de validation: cf. date de création

Valeurs mensuelles Rayonnement global / watt/mètre carré / Normales 1981-2000

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Aadorf / Tänikon	539	710515 / 259821	01.1981-12.2000	40.0	70.0	116.0	165.0	202.0	221.0	227.0	195.0	136.0	78.0	42.0	30.0	127.0
Adelboden	1326	609350 / 149001	01.1981-12.2000	56.0	89.0	135.0	173.0	196.0	204.0	211.0	184.0	143.0	94.0	60.0	45.0	132.0
Aigle	381	560401 / 130713	01.1981-12.2000	51.0	82.0	133.0	177.0	211.0	228.0	237.0	205.0	152.0	97.0	57.0	41.0	139.0
Altdorf	438	690174 / 193558	01.1981-12.2000	37.0	71.0	119.0	168.0	204.0	208.0	208.0	178.0	132.0	83.0	45.0	30.0	124.0
Basel / Binningen	316	610911 / 265601	01.1981-12.2000	40.0	69.0	111.0	158.0	196.0	221.0	226.0	195.0	138.0	82.0	47.0	31.0	126.0
Bern / Zollikofen	552	601930 / 204410	01.1981-12.2000	44.0	75.0	122.0	163.0	201.0	222.0	232.0	200.0	144.0	85.0	48.0	34.0	131.0
Buchs / Aarau	386	648389 / 248365	01.1981-12.2000	33.0	60.0	106.0	152.0	191.0	210.0	217.0	184.0	127.0	70.0	36.0	25.0	118.0
Bullet / La Frétaz	1205	534221 / 188081	01.1981-12.2000	54.0	85.0	127.0	163.0	189.0	210.0	223.0	193.0	138.0	86.0	56.0	42.0	130.0
Chasseral	1599	570847 / 220158	01.1981-12.2000	66.0	101.0	145.0	187.0	201.0	214.0	227.0	201.0	150.0	104.0	71.0	51.0	143.0
Chur	556	759466 / 193153	01.1981-12.2000	53.0	87.0	132.0	179.0	210.0	220.0	224.0	192.0	144.0	96.0	58.0	42.0	136.0
Cimetta	1661	704433 / 117452	01.1981-12.2000	73.0	111.0	163.0	183.0	201.0	242.0	255.0	221.0	157.0	105.0	73.0	59.0	154.0
Col du Grand St-Bernard	2472	579200 / 79720	01.1981-12.2000	55.0	113.0	178.0	218.0	238.0	243.0	241.0	209.0	152.0	106.0	65.0	38.0	155.0
Davos	1594	783514 / 187458	01.1981-12.2000	67.0	107.0	160.0	205.0	225.0	230.0	232.0	201.0	158.0	110.0	72.0	53.0	152.0
Disentis / Sedrun	1197	708189 / 173789	01.1981-12.2000	60.0	99.0	152.0	184.0	206.0	225.0	232.0	199.0	152.0	99.0	63.0	48.0	143.0
Engelberg	1035	674157 / 186097	01.1981-12.2000	43.0	84.0	129.0	168.0	198.0	199.0	199.0	172.0	131.0	88.0	51.0	31.0	124.0
Fahy	596	562458 / 252676	01.1981-12.2000	40.0	70.0	109.0	152.0	187.0	215.0	224.0	193.0	135.0	82.0	48.0	32.0	124.0
Genève-Cointrin	412	498905 / 122632	01.1981-12.2000	40.0	73.0	132.0	178.0	216.0	244.0	250.0	214.0	156.0	90.0	47.0	34.0	140.0
Glarus	516	723752 / 210568	01.1981-12.2000	43.0	72.0	110.0	160.0	196.0	201.0	203.0	173.0	122.0	78.0	48.0	34.0	120.0
Gütsch ob Andermatt	2283	690050 / 167475	01.1981-12.2000	74.0	118.0	178.0	227.0	237.0	240.0	242.0	208.0	160.0	111.0	77.0	61.0	161.0
Güttingen	440	738420 / 273960	01.1981-12.2000	35.0	65.0	115.0	166.0	204.0	222.0	225.0	193.0	133.0	75.0	39.0	28.0	125.0
Hinterrhein	1611	733900 / 153980	01.1981-12.2000	57.0	104.0	160.0	200.0	216.0	224.0	230.0	196.0	140.0	91.0	58.0	42.0	143.0
Interlaken	577	633019 / 169093	01.1981-12.2000	45.0	74.0	120.0	167.0	203.0	214.0	221.0	189.0	140.0	85.0	50.0	34.0	128.0
