Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 16.01.2017 / Date de validation: cf. date de création

Valeurs mensuelles Rayonnement global / watt/mètre carré / Normales 1981-2000

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Jungfraujoch	3580	641930 / 155275	01.1981-12.2000	70.0	108.0	163.0	216.0	250.0	264.0	259.0	229.0	177.0	120.0	79.0	58.0	166.0
La Chaux-de-Fonds	1018	550919 / 214861	01.1981-12.2000	53.0	85.0	127.0	164.0	186.0	210.0	222.0	193.0	140.0	89.0	58.0	41.0	131.0
La Dôle	1669	497061 / 142362	01.1981-12.2000	61.0	92.0	136.0	169.0	187.0	201.0	216.0	191.0	145.0	97.0	66.0	49.0	134.0
Le Moléson	1974	567723 / 155072	01.1981-12.2000	64.0	99.0	144.0	190.0	200.0	203.0	215.0	195.0	152.0	107.0	70.0	51.0	141.0
Locarno / Monti	366	704160 / 114350	01.1981-12.2000	59.0	92.0	143.0	168.0	196.0	233.0	243.0	211.0	147.0	92.0	60.0	47.0	141.0
Lugano	273	717874 / 95884	01.1981-12.2000	55.0	85.0	131.0	154.0	185.0	220.0	230.0	209.0	148.0	90.0	58.0	44.0	134.0
Luzern	454	665540 / 209848	01.1981-12.2000	37.0	65.0	111.0	151.0	184.0	198.0	208.0	182.0	129.0	77.0	42.0	29.0	118.0
Magadino / Cadenazzo	203	715480 / 113162	01.1981-12.2000	56.0	87.0	135.0	160.0	185.0	224.0	236.0	207.0	145.0	90.0	58.0	44.0	136.0
Montana	1427	601706 / 127482	01.1981-12.2000	68.0	104.0	156.0	198.0	232.0	248.0	256.0	221.0	170.0	113.0	72.0	55.0	158.0
Napf	1403	638133 / 206079	01.1981-12.2000	54.0	80.0	118.0	148.0	173.0	187.0	202.0	176.0	131.0	89.0	56.0	41.0	121.0
Neuchâtel	485	563087 / 205560	01.1981-12.2000	33.0	66.0	117.0	164.0	200.0	220.0	229.0	198.0	140.0	78.0	41.0	28.0	126.0
Nyon / Changins	455	506880 / 139573	01.1981-12.2000	42.0	75.0	130.0	174.0	213.0	239.0	247.0	210.0	154.0	90.0	49.0	35.0	138.0
Payerne	490	562127 / 184612	01.1981-12.2000	40.0	71.0	124.0	168.0	208.0	232.0	238.0	205.0	145.0	82.0	45.0	33.0	133.0
Pilatus	2106	661910 / 203410	01.1981-12.2000	63.0	98.0	141.0	180.0	193.0	183.0	188.0	175.0	145.0	109.0	68.0	50.0	133.0
Piotta	990	695888 / 152261	01.1981-12.2000	34.0	82.0	139.0	167.0	182.0	212.0	222.0	190.0	138.0	85.0	42.0	22.0	126.0
Piz Corvatsch	3302	783151 / 143522	01.1981-12.2000	82.0	128.0	190.0	242.0	263.0	256.0	249.0	211.0	174.0	132.0	88.0	68.0	174.0
Poschiavo / Robbia	1078	801850 / 136180	01.1981-12.2000	61.0	96.0	144.0	175.0	196.0	214.0	223.0	188.0	138.0	93.0	63.0	48.0	137.0
Pully	455	540811 / 151514	01.1981-12.2000	43.0	76.0	131.0	177.0	218.0	242.0	249.0	213.0	154.0	92.0	52.0	36.0	140.0
Rünenberg	611	633246 / 253846	01.1981-12.2000	43.0	72.0	113.0	159.0	196.0	218.0	224.0	193.0	138.0	81.0	47.0	33.0	126.0
S. Bernardino	1638	734112 / 147296	01.1981-12.2000	64.0	102.0	155.0	181.0	189.0	211.0	219.0	185.0	139.0	92.0	64.0	51.0	138.0
Samedan	1708	787210 / 155700	01.1981-12.2000	72.0	111.0	167.0	210.0	230.0	241.0	246.0	209.0	161.0	112.0	74.0	58.0	158.0
Schaffhausen	438	688698 / 282796	01.1981-12.2000	35.0	67.0	112.0	162.0	205.0	223.0	228.0	197.0	138.0	76.0	40.0	28.0	126.0
Scuol	1303	817135 / 186393	01.1981-12.2000	65.0	104.0	159.0	203.0	225.0	233.0	241.0	204.0	159.0	109.0	68.0	50.0	152.0
Sion	482	591630 / 118575	01.1981-12.2000	53.0	93.0	147.0	200.0	236.0	256.0	258.0	220.0	166.0	106.0	61.0	41.0	153.0
St. Gallen	775	747865 / 254588	01.1981-12.2000	42.0	71.0	113.0	157.0	194.0	207.0	216.0	186.0	130.0	78.0	45.0	33.0	123.0
Stabio	353	716050 / 77966	01.1981-12.2000	54.0	83.0	126.0	152.0	184.0	219.0	232.0	209.0	145.0	86.0	54.0	42.0	132.0
Säntis	2502	744200 / 234920	01.1981-12.2000	66.0	104.0	148.0	202.0	224.0	215.0	214.0	189.0	154.0	114.0	73.0	53.0	146.0
Ulrichen	1345	666740 / 150760	01.1981-12.2000	53.0	95.0	153.0	189.0	213.0	230.0	235.0	202.0	151.0	98.0	58.0	40.0	143.0
Vaduz	457	757719 / 221697	01.1981-12.2000	45.0	78.0	120.0	165.0	202.0	208.0	212.0	182.0	137.0	89.0	50.0	35.0	127.0
Visp	639	631149 / 128020	01.1981-12.2000	30.0	90.0	150.0	199.0	238.0	252.0	258.0	219.0	166.0	104.0	45.0	22.0	148.0
Weissfluhjoch	2691	780615 / 189634	01.1981-12.2000	76.0	119.0	174.0	227.0	243.0	233.0	218.0	187.0	158.0	119.0	81.0	62.0	158.0
Wynau	422	626400 / 233850	01.1981-12.2000	35.0	66.0	114.0	160.0	201.0	222.0	229.0	196.0	137.0	75.0	39.0	27.0	125.0
Wädenswil	485	693847 / 230744	01.1981-12.2000	39.0	70.0	118.0	166.0	201.0	216.0	222.0	192.0	135.0	79.0	43.0	30.0	126.0
Zermatt	1638	624350 / 97560	01.1981-12.2000	63.0	102.0	160.0	198.0	223.0	234.0	237.0	206.0	160.0	110.0	68.0	52.0	151.0
Zürich / Affoltern	443	681428 / 253546	01.1981-12.2000	37.0	68.0	114.0	163.0	203.0	223.0	226.0	194.0	135.0	76.0	41.0	29.0	126.0
Zürich / Fluntern	555	685117 / 248066	01.1981-12.2000	38.0	68.0	114.0	161.0	198.0	215.0	222.0	193.0	137.0	79.0	43.0	30.0	125.0
Zürich / Kloten	426	682710 / 259339	01.1981-12.2000	38.0	69.0	115.0	164.0	203.0	220.0	224.0	194.0	136.0	77.0	41.0	29.0	126.0

