quarter_start	company_ticker	revenue
2000-01-01	AAPL	1945
2000-04-01	AAPL	1825
2000-07-01	AAPL	1870
2000-10-01	AAPL	1007
2001-01-01	AAPL	1431
2001-04-01	AAPL	1475
2001-07-01	AAPL	1450
2001-10-01	AAPL	1375
2002-01-01	AAPL	1495
2002-04-01	AAPL	1429
2002-07-01	AAPL	1443
2002-10-01	AAPL	1472
2003-01-01	AAPL	1475
2003-04-01	AAPL	1545
2003-07-01	AAPL	1715
2003-10-01	AAPL	2006
2004-01-01	AAPL	1909
2004-04-01	AAPL	2014
2004-07-01	AAPL	2350
2004-10-01	AAPL	3490
2005-01-01	AAPL	3243
2005-04-01	AAPL	3520
2005-07-01	AAPL	3678
2005-10-01	AAPL	5749
2006-01-01	AAPL	4359
2006-04-01	AAPL	4370
2006-07-01	AAPL	4837
2006-10-01	AAPL	7115
2007-01-01	AAPL	5264
2007-04-01	AAPL	5410
2007-07-01	AAPL	6217
2007-10-01	AAPL	9608
2008-01-01	AAPL	7512
2008-04-01	AAPL	7464
2008-07-01	AAPL	12907
2008-10-01	AAPL	11880
2009-01-01	AAPL	9084
2009-04-01	AAPL	9734
2009-07-01	AAPL	12207
2009-10-01	AAPL	15683
2010-01-01	AAPL	13499
2010-04-01	AAPL	15700
2010-07-01	AAPL	20343
2010-10-01	AAPL	26741
2011-01-01	AAPL	24667
2011-04-01	AAPL	28571
2011-07-01	AAPL	28270
2011-10-01	AAPL	46333
2012-01-01	AAPL	39186
2012-04-01	AAPL	35023
2012-07-01	AAPL	35966
2012-10-01	AAPL	54512
2013-01-01	AAPL	43603
2013-04-01	AAPL	35323
2013-07-01	AAPL	37472
2013-10-01	AAPL	57594
2014-01-01	AAPL	45646
2014-04-01	AAPL	37432
2014-07-01	AAPL	42123
2014-10-01	AAPL	74599
2015-01-01	AAPL	58010
2015-04-01	AAPL	49605
2000-01-01	AXP	5358
2000-04-01	AXP	5625
2000-07-01	AXP	5629
2000-10-01	AXP	5709
2001-01-01	AXP	5358
2001-04-01	AXP	4856
2001-07-01	AXP	5339
2001-10-01	AXP	5529
2002-01-01	AXP	5488
2002-04-01	AXP	5668
2002-07-01	AXP	5643
2002-10-01	AXP	5926
2003-01-01	AXP	5793
2003-04-01	AXP	6125
2003-07-01	AXP	6180
2003-10-01	AXP	6863
2004-01-01	AXP	6707
2004-04-01	AXP	7048
2004-07-01	AXP	5275
2004-10-01	AXP	5614
2005-01-01	AXP	5439
2005-04-01	AXP	5788
2005-07-01	AXP	5790
2005-10-01	AXP	5408
2006-01-01	AXP	6053
2006-04-01	AXP	6142
2006-07-01	AXP	6265
2006-10-01	AXP	6347
2007-01-01	AXP	6484
2007-04-01	AXP	7130
2007-07-01	AXP	6945
2007-10-01	AXP	7192
2008-01-01	AXP	7240
2008-04-01	AXP	7455
2008-07-01	AXP	7164
2008-10-01	AXP	6506
2009-01-01	AXP	5926
2009-04-01	AXP	11443
2009-07-01	AXP	6016
2009-10-01	AXP	6489
2010-01-01	AXP	6560
2010-04-01	AXP	6805
2010-07-01	AXP	6973
2010-10-01	AXP	7244
2011-01-01	AXP	7031
2011-04-01	AXP	7618
2011-07-01	AXP	7571
2011-10-01	AXP	7742
2012-01-01	AXP	7587
2012-04-01	AXP	7965
2012-07-01	AXP	7862
2012-10-01	AXP	8141
2013-01-01	AXP	7881
2013-04-01	AXP	8245
2013-07-01	AXP	8301
2013-10-01	AXP	8547
2014-01-01	AXP	8173
2014-04-01	AXP	8657
2014-07-01	AXP	8329
2014-10-01	AXP	9107
2015-01-01	AXP	7950
2015-04-01	AXP	8284
2000-01-01	BA	9910
2000-04-01	BA	14841
2000-07-01	BA	11877
2000-10-01	BA	14693
2001-01-01	BA	13293
2001-04-01	BA	15516
2001-07-01	BA	13687
2001-10-01	BA	15702
2002-01-01	BA	13821
2002-04-01	BA	13857
2002-07-01	BA	12690
2002-10-01	BA	13693
2003-01-01	BA	12258
2003-04-01	BA	12717
2003-07-01	BA	12184
2003-10-01	BA	13156
2004-01-01	BA	12903
2004-04-01	BA	13088
2004-07-01	BA	13152
2004-10-01	BA	13314
2005-01-01	BA	12681
2005-04-01	BA	14684
2005-07-01	BA	12355
2005-10-01	BA	13901
2006-01-01	BA	14264
2006-04-01	BA	14986
2006-07-01	BA	14739
2006-10-01	BA	17541
2007-01-01	BA	15365
2007-04-01	BA	17028
2007-07-01	BA	16517
2007-10-01	BA	17477
2008-01-01	BA	15990
2008-04-01	BA	16962
2008-07-01	BA	15293
2008-10-01	BA	12664
2009-01-01	BA	16502
2009-04-01	BA	17154
2009-07-01	BA	16688
2009-10-01	BA	17937
2010-01-01	BA	15216
2010-04-01	BA	15573
2010-07-01	BA	16967
2010-10-01	BA	16550
2011-01-01	BA	14910
2011-04-01	BA	16543
2011-07-01	BA	17727
2011-10-01	BA	19555
2012-01-01	BA	19383
2012-04-01	BA	20005
2012-07-01	BA	20008
2012-10-01	BA	22302
2013-01-01	BA	18893
2013-04-01	BA	21815
2013-07-01	BA	22130
2013-10-01	BA	23785
2014-01-01	BA	20465
2014-04-01	BA	22045
2014-07-01	BA	23784
2014-10-01	BA	24468
2015-01-01	BA	22149
2015-04-01	BA	24543
2000-01-01	CAT	4919
2000-04-01	CAT	5363
2000-07-01	CAT	4779
2000-10-01	CAT	5114
2001-01-01	CAT	4810
2001-04-01	CAT	5488
2001-07-01	CAT	5056
2001-10-01	CAT	5096
2002-01-01	CAT	4409
2002-04-01	CAT	5291
2002-07-01	CAT	5075
2002-10-01	CAT	5377
2003-01-01	CAT	4821
2003-04-01	CAT	5932
2003-07-01	CAT	5545
2003-10-01	CAT	6509
2004-01-01	CAT	6480
2004-04-01	CAT	7583
2004-07-01	CAT	7659
2004-10-01	CAT	8584
2005-01-01	CAT	8339
2005-04-01	CAT	9360
2005-07-01	CAT	8977
2005-10-01	CAT	9663
2006-01-01	CAT	9392
2006-04-01	CAT	10605
2006-07-01	CAT	10517
2006-10-01	CAT	11003
2007-01-01	CAT	10016
2007-04-01	CAT	11356
2007-07-01	CAT	11442
2007-10-01	CAT	12144
2008-01-01	CAT	11796
2008-04-01	CAT	13624
2008-07-01	CAT	12981
2008-10-01	CAT	12923
2009-01-01	CAT	9225
2009-04-01	CAT	7975
2009-07-01	CAT	7298
2009-10-01	CAT	7898
2010-01-01	CAT	8238
2010-04-01	CAT	10409
2010-07-01	CAT	11134
2010-10-01	CAT	12807
2011-01-01	CAT	12949
2011-04-01	CAT	14230
2011-07-01	CAT	15716
2011-10-01	CAT	17243
2012-01-01	CAT	15981
2012-04-01	CAT	17374
2012-07-01	CAT	16445
2012-10-01	CAT	16075
2013-01-01	CAT	13210
2013-04-01	CAT	14621
2013-07-01	CAT	13423
2013-10-01	CAT	14402
2014-01-01	CAT	13241
2014-04-01	CAT	14150
2014-07-01	CAT	13549
2014-10-01	CAT	14244
2015-01-01	CAT	12702
2015-04-01	CAT	12317
2000-01-01	CSCO	4357
2000-04-01	CSCO	4933
2000-07-01	CSCO	5720
2000-10-01	CSCO	6519
2001-01-01	CSCO	6748
2001-04-01	CSCO	4728
2001-07-01	CSCO	4298
2001-10-01	CSCO	4448
2002-01-01	CSCO	4816
2002-04-01	CSCO	4822
2002-07-01	CSCO	4829
2002-10-01	CSCO	4845
2003-01-01	CSCO	4713
2003-04-01	CSCO	4618
2003-07-01	CSCO	4702
2003-10-01	CSCO	5101
2004-01-01	CSCO	5398
2004-04-01	CSCO	5620
2004-07-01	CSCO	5926
2004-10-01	CSCO	5971
2005-01-01	CSCO	6062
2005-04-01	CSCO	6187
2005-07-01	CSCO	6581
2005-10-01	CSCO	6550
2006-01-01	CSCO	6628
2006-04-01	CSCO	7322
2006-07-01	CSCO	7984
2006-10-01	CSCO	8184
2007-01-01	CSCO	8439
2007-04-01	CSCO	8866
2007-07-01	CSCO	9433
2007-10-01	CSCO	9554
2008-01-01	CSCO	9831
2008-04-01	CSCO	9791
2008-07-01	CSCO	10364
2008-10-01	CSCO	10331
2009-01-01	CSCO	9089
2009-04-01	CSCO	8162
2009-07-01	CSCO	8535
2009-10-01	CSCO	9021
