Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 02.01.2018 / Date de validation: cf. date de création

Valeurs mensuelles Température moyenne maximale de l'air à 2m / degré Celsius / Normales 1981-2010

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Col du Grand St-Bernard	2472	579200 / 79720	01.1981-12.2010	-4.4	-4.9	-3.2	-0.9	3.7	8.2	11.5	11.3	7.5	3.6	-1.5	-3.7	2.3
Davos	1594	783514 / 187458	01.1981-12.2010	-0.2	0.9	3.8	7.2	12.4	15.5	18.1	17.4	14.1	10.9	4.2	0.4	8.7
Delémont	439	593269 / 244543	01.1981-12.2010	4.0	6.1	10.5	14.2	18.7	22.0	24.5	24.0	19.7	15.1	8.3	4.7	14.3
Disentis	1197	708189 / 173789	01.1981-12.2010	2.3	3.1	6.8	10.4	15.3	18.9	21.4	20.5	16.7	12.9	6.2	2.9	11.5
Ebnat-Kappel	623	726347 / 237176	01.1981-12.2010	2.4	4.0	8.3	12.7	17.8	20.8	23.2	22.5	18.3	13.7	7.1	3.2	12.8
Einsiedeln	910	699984 / 221069	01.1981-12.2010	2.0	2.9	6.4	10.2	15.2	18.2	20.7	20.0	16.0	12.2	6.3	2.7	11.1
Elm	958	732265 / 198425	01.1981-12.2010	1.2	2.7	6.6	11.0	16.2	18.8	20.9	19.9	16.2	12.6	5.9	2.1	11.2
Engelberg	1035	674157 / 186097	01.1981-12.2010	1.7	2.7	6.6	10.6	15.7	18.5	20.7	19.9	16.1	12.2	5.7	2.4	11.1
Evolène / Villa	1825	605415 / 106740	01.1981-12.2010	0.5	0.7	3.6	7.0	11.4	14.8	17.7	17.0	13.6	10.1	4.4	1.6	8.5
Fahy	596	562458 / 252676	01.1981-12.2010	3.6	4.7	8.8	12.6	16.9	20.3	23.0	22.6	18.0	13.6	7.7	4.5	13.0
Fribourg / Posieux	646	575182 / 180076	01.1981-12.2010	2.8	4.6	9.0	12.7	17.6	21.0	23.7	23.2	18.8	13.6	7.1	3.4	13.1
Genève / Cointrin	410	498905 / 122632	01.1981-12.2010	4.5	6.3	11.2	14.9	19.7	23.5	26.5	25.8	20.9	15.4	8.8	5.3	15.2
Glarus	516	723752 / 210568	01.1981-12.2010	2.6	4.1	9.0	13.9	18.8	21.3	23.4	22.5	18.4	14.0	7.6	3.7	13.3
Grimsel Hospiz	1980	668583 / 158215	01.1981-12.2010	-2.1	-2.2	-0.2	2.5	7.6	11.4	14.0	13.7	10.4	7.5	1.6	-1.1	5.3
Grono	323	733017 / 124090	01.1981-12.2010	5.4	7.9	13.3	16.6	20.5	24.4	26.9	26.1	21.6	16.4	10.1	5.9	16.3
Grächen	1605	630739 / 116062	01.1981-12.2010	0.9	1.2	4.5	8.4	13.5	17.2	20.0	19.2	15.2	10.7	4.4	1.4	9.7
Gstaad	1045	588260 / 146165	01.1981-12.2010	2.9	4.6	8.5	12.3	17.3	20.7	23.3	22.6	19.0	14.7	7.8	3.5	13.1
Gütsch, Andermatt	2283	690050 / 167475	01.1981-12.2010	-3.2	-3.8	-2.3	0.0	4.9	9.6	12.7	12.7	9.4	6.0	0.1	-2.3	3.7
Güttingen	440	738420 / 273960	01.1981-12.2010	2.9	4.5	9.6	14.0	18.9	21.9	24.3	23.6	19.1	13.6	7.1	3.8	13.6
Hallau	419	677456 / 283472	01.1981-12.2010	2.3	4.7	9.8	14.2	18.9	22.1	24.5	23.9	19.6	13.9	6.8	3.1	13.7
Hinterrhein	1611	733900 / 153980	01.1981-12.2010	-1.5	-0.6	2.6	5.6	11.2	15.3	18.1	17.5	13.6	9.6	3.0	-0.8	7.8
Hörnli	1144	713515 / 247755	01.1981-12.2010	1.6	1.6	4.8	9.3	13.9	17.0	19.6	18.8	14.8	10.9	5.3	2.3	10.0
Interlaken	577	633019 / 169093	01.1981-12.2010	3.1	5.1	10.1	14.1	18.8	21.9	24.4	23.5	19.3	14.4	7.7	3.8	13.9
Jungfraujoch	3580	641930 / 155275	01.1981-12.2010	-9.7	-10.5	-9.4	-7.0	-2.5	0.8	3.1	3.0	0.3	-2.3	-6.9	-8.9	-4.2
Koppigen	484	612662 / 218664	01.1981-12.2010	2.4	4.5	9.7	13.8	18.6	22.1	24.7	24.0	19.5	14.0	6.9	3.1	13.6
La Brévine	1050	536982 / 203974	01.1981-12.2010	0.9	2.1	5.5	9.5	14.4	17.9	20.5	20.0	16.1	12.4	6.0	2.2	10.6
La Chaux-de-Fonds	1017	550919 / 214861	01.1981-12.2010	2.7	3.3	6.2	9.9	14.6	18.1	20.7	20.2	16.4	12.8	6.7	3.5	11.3
La Dôle	1669	497061 / 142362	01.1981-12.2010	0.1	-0.4	1.6	4.7	9.7	13.2	15.9	15.7	12.1	8.7	3.3	0.9	7.1
Langnau i.E.	745	628005 / 198792	01.1981-12.2010	3.2	4.7	8.9	12.5	17.4	20.8	23.3	22.7	18.6	14.0	7.3	3.7	13.1
Le Moléson	1974	567723 / 155072	01.1981-12.2010	-0.5	-0.6	0.9	3.3	8.1	11.5	14.2	13.9	10.8	8.1	2.8	0.6	6.1
Locarno / Monti	366	704160 / 114350	01.1981-12.2010	6.8	8.7	13.5	16.5	20.5	24.4	27.1	26.3	21.7	16.4	10.7	7.3	16.7
Lugano	273	717874 / 95884	01.1981-12.2010	6.6	8.5	13.0	15.8	20.2	24.2	26.9	26.1	21.7	16.7	11.3	7.4	16.5
Luzern	454	665540 / 209848	01.1981-12.2010	3.4	5.2	10.3	14.4	19.1	22.2	24.7	23.8	19.4	14.3	7.8	4.3	14.1
Lägern	845	672250 / 259460	01.1981-12.2010	1.0	1.9	6.1	10.3	14.9	17.9	20.3	19.8	15.5	10.9	5.1	2.0	10.5
Magadino / Cadenazzo	203	715480 / 113162	01.1981-12.2010	6.1	8.6	13.8	16.9	21.2	25.1	27.6	26.7	22.2	16.7	10.8	6.5	16.9
Meiringen	588	655844 / 175930	01.1981-12.2010	1.6	4.0	9.3	13.7	18.3	20.9	23.2	22.4	18.4	13.6	6.9	2.0	12.9
Montana	1427	601706 / 127482	01.1981-12.2010	1.6	2.2	5.6	9.2	14.1	17.7	20.5	19.8	15.9	11.6	5.4	2.3	10.5
Napf	1403	638133 / 206079	01.1981-12.2010	1.1	0.7	3.1	6.6	11.7	15.0	17.6	17.0	13.0	9.7	4.3	1.8	8.5
Neuchâtel	485	563087 / 205560	01.1981-12.2010	3.3	5.0	9.9	14.1	18.6	22.1	24.9	24.3	19.5	13.9	7.6	4.3	14.0
Nyon / Changins	455	506880 / 139573	01.1981-12.2010	3.8	5.4	10.1	14.0	18.7	22.4	25.2	24.6	19.8	14.5	8.1	4.7	14.3
Passo del Bernina	2260	798422 / 143020	01.1981-12.2010	-3.7	-3.7	-1.4	1.5	7.0	11.1	14.0	13.4	9.4	5.5	-0.2	-3.0	4.2
Payerne	490	562127 / 184612	01.1981-12.2010	3.0	4.9	10.1	14.1	18.8	22.3	25.2	24.5	19.7	14.1	7.3	3.8	14.0
Pilatus	2106	661910 / 203410	01.1981-12.2010	-1.1	-1.7	-0.2	1.9	6.5	9.5	12.2	11.9	9.1	6.9	1.9	-0.3	4.7
Piotta	990	695888 / 152261	01.1981-12.2010	2.3	4.2	8.5	11.7	16.4	20.7	23.1	22.2	17.8	12.9	6.5	2.6	12.4
Piz Corvatsch	3302	783151 / 143522	01.1981-12.2010	-8.6	-9.5	-8.2	-6.0	-1.5	1.8	4.8	4.9	1.6	-1.0	-5.7	-8.0	-3.0
Plaffeien	1042	586808 / 177400	01.1981-12.2010	2.1	2.6	6.0	9.6	14.3	17.7	20.3	19.6	15.5	11.4	5.7	3.0	10.7
Poschiavo / Robbia	1078	801850 / 136180	01.1981-12.2010	3.6	4.6	8.6	12.1	16.5	20.2	22.6	22.0	17.5	13.0	7.7	4.2	12.7
Pully	455	540811 / 151514	01.1981-12.2010	4.4	5.6	10.1	14.0	18.7	22.4	25.0	24.4	19.8	14.6	8.6	5.3	14.4
Robièi	1896	682588 / 144091	01.1981-12.2010	-0.6	-0.8	1.2	3.4	7.5	12.2	15.1	14.5	10.9	7.2	2.3	0.2	6.1
Rünenberg	611	633246 / 253846	01.1981-12.2010	3.0	4.4	8.7	12.6	17.1	20.3	22.8	22.3	18.0	13.3	7.2	3.9	12.8
S. Bernardino	1638	734112 / 147296	01.1981-12.2010	0.6	0.7	3.2	5.8	10.8	15.1	17.8	17.2	13.2	9.2	3.8	1.0	8.2
Salen-Reutenen	718	719099 / 279047	01.1981-12.2010	1.1	2.6	7.1	11.5	16.3	19.4	21.6	21.0	16.8	11.8	5.4	2.1	11.4
Samedan	1708	787250 / 155685	01.1981-12.2010	-1.6	0.5	3.7	7.4	12.9	16.4	19.3	18.7	14.9	10.9	3.7	-1.2	8.8
Schaffhausen	438	688698 / 282796	01.1981-12.2010	2.6	4.7	9.9	14.4	19.2	22.3	24.7	24.0	19.4	13.8	7.0	3.5	13.8
Scuol	1303	817135 / 186393	01.1981-12.2010	-0.2	2.5	7.8	11.9	16.7	20.2	22.8	22.1	18.3	13.4	5.2	0.0	11.7
Segl-Maria	1804	778575 / 144976	01.1981-12.2010	-0.1	1.0	3.6	5.8	10.8	14.6	17.5	17.0	13.4	9.5	4.0	0.4	8.1
Sion	482	591630 / 118575	01.1981-12.2010	4.4	6.9	12.5	16.6	21.0	24.5	27.0	26.1	21.7	16.7	9.5	4.7	16.0
St. Gallen	775	747865 / 254588	01.1981-12.2010	2.5	3.3	7.3	11.5	16.3	19.2	21.6	20.9	16.8	12.3	6.5	3.5	11.8
Sta. Maria, Val Müstair	1383	828861 / 165580	01.1981-12.2010	0.7	3.0	6.8	10.4	15.6	19.2	21.5	20.4	16.1	11.2	4.6	0.7	10.9
Stabio	353	716050 / 77966	01.1981-12.2010	7.0	8.8	13.5	16.4	20.9	25.0	27.5	26.7	22.1	16.9	11.1	7.3	16.9
Säntis	2502	744200 / 234920	01.1981-12.2010	-4.1	-5.0	-4.1	-2.0	2.8	6.0	8.8	8.9	6.0	3.7	-1.2	-3.4	1.4
Ulrichen	1345	666740 / 150760	01.1981-12.2010	-1.1	1.3	5.1	8.7	14.3	18.5	21.5	20.7	17.1	12.6	4.7	-0.5	10.2
Vaduz	457	757719 / 221697	01.1981-12.2010	4.3	6.0	11.1	15.1	19.8	22.3	24.5	23.7	19.8	15.5	8.9	5.1	14.7
Visp	639	631149 / 128020	01.1981-12.2010	2.7	6.0	12.2	16.1	20.8	24.2	26.7	25.9	21.5	16.2	8.2	3.2	15.3
Weissfluhjoch	2691	780615 / 189634	01.1981-12.2010	-5.3	-6.1	-4.7	-2.3	2.6	6.3	9.9	9.9	6.5	3.6	-2.1	-4.6	1.1
Wynau	422	626400 / 233850	01.1981-12.2010	2.7	4.7	10.0	14.3	19.1	22.4	24.9	24.2	19.7	14.1	7.2	3.5	13.9
Wädenswil	485	693847 / 230744	01.1981-12.2010	2.8	4.5	9.5	13.9	18.7	21.8	24.1	23.3	18.9	13.8	7.3	3.8	13.5
Zermatt	1638	624350 / 97560	01.1981-12.2010	0.7	1.5	4.9	8.7	13.5	17.0	19.9	19.1	15.2	11.2	4.8	1.3	9.8
Zürich / Affoltern	443	681428 / 253546	01.1981-12.2010	3.1	5.0	10.0	14.3	19.1	22.2	24.7	24.0	19.5	14.2	7.4	3.9	14.0
Zürich / Fluntern	555	685117 / 248066	01.1981-12.2010	2.9	4.6	9.5	13.8	18.5	21.6	24.0	23.3	18.8	13.7	7.2	3.7	13.5
Zürich / Kloten	426	682710 / 259339	01.1981-12.2010	3.2	5.2	10.3	14.6	19.3	22.5	25.0	24.2	19.8	14.4	7.6	4.1	14.2

