Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 02.01.2018 / Date de validation: cf. date de création

Valeurs mensuelles Température moyenne maximale de l'air à 2m / degré Celsius / Normales 1981-2010

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Aadorf / Tänikon	539	710515 / 259821	01.1981-12.2010	2.6	4.3	9.2	13.5	18.4	21.4	23.9	23.2	18.8	13.6	6.9	3.6	13.3
Acquarossa / Comprovasco	575	714998 / 146440	01.1981-12.2010	5.4	7.0	11.8	14.7	19.0	22.9	25.4	24.5	20.0	14.9	9.3	6.0	15.1
Adelboden	1326	609350 / 149001	01.1981-12.2010	2.6	3.0	5.9	9.3	14.1	17.2	19.7	18.9	15.5	12.1	6.2	3.4	10.7
Aigle	381	560401 / 130713	01.1981-12.2010	4.6	6.0	10.6	14.6	19.0	22.4	24.9	24.2	19.9	15.2	9.0	5.5	14.7
Altdorf	438	690174 / 193558	01.1981-12.2010	4.3	5.7	10.5	14.6	19.5	22.0	24.2	23.4	19.4	14.9	8.8	5.3	14.4
Arosa	1878	771030 / 184826	01.1981-12.2010	-0.3	0.1	2.6	5.5	10.7	14.1	16.8	16.2	12.6	9.2	3.1	0.2	7.6
Bad Ragaz	496	756910 / 209351	01.1981-12.2010	3.9	5.4	10.5	14.9	19.8	22.3	24.5	23.8	20.0	15.9	8.9	4.8	14.6
Basel / Binningen	316	610911 / 265601	01.1981-12.2010	4.5	6.4	11.2	15.2	19.6	22.9	25.3	24.7	20.3	15.2	8.7	5.2	14.9
Bern / Zollikofen	552	601930 / 204410	01.1981-12.2010	2.8	4.7	9.6	13.5	18.3	21.7	24.3	23.8	19.2	13.9	7.3	3.4	13.5
Biel/Bienne	433	586260 / 218840	01.1981-12.2010	3.7	5.6	10.7	14.9	19.6	22.9	25.6	25.0	20.5	14.7	8.0	4.7	14.7
Blatten, Lötschental	1538	629564 / 141084	01.1981-12.2010	0.2	2.2	5.6	8.6	13.8	17.7	20.5	19.7	16.2	12.0	4.9	0.3	10.1
Buchs / Aarau	386	648389 / 248365	01.1981-12.2010	3.2	5.2	10.3	14.5	19.3	22.6	25.2	24.5	19.9	14.4	7.6	4.0	14.2
Buffalora	1968	816494 / 170225	01.1981-12.2010	-2.2	-0.7	2.3	5.3	10.7	14.6	17.5	17.0	13.0	8.9	2.1	-2.2	7.2
Bullet / La Frétaz	1205	534221 / 188081	01.1981-12.2010	1.6	1.7	4.4	7.9	12.6	16.0	18.5	18.1	14.1	10.4	5.0	2.4	9.4
Chasseral	1599	570847 / 220158	01.1981-12.2010	0.2	-0.4	1.4	4.6	9.7	13.0	15.5	15.1	11.5	8.4	3.1	0.9	6.9
Chaumont	1136	565060 / 211006	01.1981-12.2010	1.6	2.3	5.5	9.2	14.1	17.5	20.1	19.6	15.5	11.2	5.3	2.2	10.3
Chur	556	759466 / 193153	01.1981-12.2010	4.8	6.4	11.2	15.1	20.0	22.7	24.9	24.1	20.0	16.1	9.5	5.3	15.0
Château-d'Oex	1029	577040 / 147655	01.1981-12.2010	1.9	3.6	7.5	11.3	16.1	19.4	21.9	21.3	17.1	12.9	6.2	2.4	11.8
Cimetta	1661	704433 / 117452	01.1981-12.2010	1.0	0.7	3.2	5.8	10.5	14.2	16.6	16.2	12.4	8.7	4.0	1.7	7.9
