Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 02.01.2018 / Date de validation: cf. date de création

Valeurs mensuelles Précipitations / millimètre / Normales 1981-2010

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Aadorf / Tänikon	539	710515 / 259821	01.1981-12.2010	76.5	73.0	87.8	89.6	124.1	123.6	116.7	119.5	102.2	91.3	84.0	95.9	1184.2
Aarberg	493	588051 / 209518	01.1981-12.2010	74.8	70.7	77.1	75.7	100.3	100.6	97.2	106.1	92.1	94.0	78.3	92.2	1059.1
Acquarossa / Comprovasco	575	714998 / 146440	01.1981-12.2010	58.5	45.8	63.4	117.6	160.5	129.5	128.0	153.7	145.6	125.2	116.9	73.0	1317.7
Adelboden	1326	609350 / 149001	01.1981-12.2010	91.6	85.3	94.5	88.8	128.0	147.9	159.6	153.8	102.9	89.1	91.6	104.8	1337.9
Affeltrangen	479	719070 / 265660	01.1981-12.2010	56.2	58.2	71.0	77.7	117.3	113.4	113.8	113.5	93.8	75.4	72.2	80.4	1042.9
Affoltern i. E.	755	622940 / 212500	01.1981-12.2010	74.7	72.4	92.6	103.4	142.4	138.2	134.0	140.2	109.4	98.6	89.8	94.5	1290.2
Aigle	381	560401 / 130713	01.1981-12.2010	69.4	63.9	70.7	69.8	90.1	105.8	110.4	106.5	87.9	83.4	74.8	78.9	1011.6
Airolo	1139	688910 / 153400	01.1981-12.2010	94.1	78.6	89.7	152.9	195.4	149.2	131.5	143.9	184.3	192.2	163.6	99.1	1674.5
Allenwinden, TG	865	713800 / 249550	01.1981-12.2010	104.8	99.3	126.6	121.2	153.7	167.3	162.2	162.6	140.4	117.2	121.0	126.6	1602.9
Alpthal	1015	696860 / 212930	01.1981-12.2010	130.3	134.7	164.9	153.9	197.5	242.6	254.0	235.4	184.3	136.7	153.7	158.0	2146.0
Altdorf	438	690174 / 193558	01.1981-12.2010	67.9	65.1	77.4	84.3	113.0	132.4	145.4	148.3	109.2	77.4	86.0	79.4	1185.8
Altmatt	920	695420 / 220770	01.1981-12.2010	108.6	107.2	139.6	136.1	174.5	197.1	212.7	205.8	162.7	121.2	130.7	133.6	1829.8
Altstätten, SG	430	759910 / 250202	01.1981-12.2010	89.9	83.1	110.2	106.6	135.1	155.4	174.8	161.0	131.7	97.3	108.8	107.2	1461.1
Alvaneu Dorf	1170	769168 / 171945	01.1981-12.2010	50.6	44.2	56.0	66.1	91.2	118.6	125.6	134.0	96.5	70.6	75.8	60.3	989.5
Amriswil	420	741796 / 268304	01.1981-12.2010	54.0	55.4	67.5	77.2	113.9	116.9	121.5	117.0	99.6	74.3	74.0	77.2	1048.5
Andeer	987	752687 / 164036	01.1981-12.2010	45.8	34.9	49.6	63.8	97.7	116.3	125.2	132.4	108.6	78.3	81.2	47.5	981.3
Andelfingen	382	693810 / 273070	01.1981-12.2010	59.4	56.0	64.3	69.3	91.9	92.1	94.3	95.3	77.6	74.2	66.4	76.1	916.9
Andermatt	1438	687444 / 165044	01.1981-12.2010	121.1	114.9	122.2	124.8	146.4	132.0	125.7	132.4	147.5	124.2	144.1	116.3	1551.6
Appenzell	750	748012 / 245040	01.1981-12.2010	86.3	81.0	112.4	113.9	150.7	173.7	192.9	177.9	145.8	98.1	102.5	101.9	1537.1
Arbon	401	750506 / 263115	01.1981-12.2010	50.6	48.5	64.4	72.1	106.4	108.4	124.2	115.4	96.8	69.0	70.1	68.9	994.8
Arisdorf	480	625310 / 261860	01.1981-12.2010	59.3	59.9	68.7	80.1	110.9	102.2	107.2	100.2	93.4	86.3	76.7	87.1	1032.0
Arosa	1878	771030 / 184826	01.1981-12.2010	86.2	79.3	92.2	95.9	118.7	151.9	163.1	169.6	123.6	88.4	106.0	90.1	1365.0
Avenches	446	569367 / 192283	01.1981-12.2010	62.4	54.5	69.4	76.6	100.2	98.5	95.9	100.7	89.1	97.2	73.3	78.1	995.9
Avers / Am Bach	2000	761985 / 146785	01.1981-12.2010	44.0	38.8	54.6	77.5	115.4	145.9	142.3	148.7	127.5	99.9	93.0	54.9	1142.5
Bad Ragaz	496	756910 / 209351	01.1981-12.2010	69.0	68.2	82.6	72.7	92.4	120.8	132.9	144.1	102.6	70.0	82.3	76.2	1113.8
Balsthal	523	621017 / 241091	01.1981-12.2010	82.7	77.4	82.6	79.6	107.4	109.0	113.3	110.6	90.9	84.7	81.2	97.6	1117.0
Barmelweid	770	640180 / 252446	01.1981-12.2010	90.4	86.5	99.0	101.7	129.9	125.1	123.6	123.4	106.2	101.4	100.5	113.5	1301.2
Basel / Binningen	316	610911 / 265601	01.1981-12.2010	46.7	44.6	54.8	63.8	98.6	86.3	91.1	80.1	78.1	72.9	59.4	65.7	842.1
Baulmes	642	530050 / 182450	01.1981-12.2010	124.0	110.3	110.0	94.9	116.3	104.6	101.2	103.7	104.9	118.6	118.4	142.0	1348.9
Bauma	667	710805 / 247005	01.1981-12.2010	98.0	94.3	118.9	122.0	155.3	174.5	164.6	167.4	142.3	114.5	118.2	120.4	1590.4
Bellelay	923	579603 / 234880	01.1981-12.2010	116.3	108.0	118.2	103.6	139.0	118.1	125.6	122.9	110.9	117.2	114.6	135.7	1430.1
Bellinzona	224	720913 / 116588	01.1981-12.2010	62.5	47.8	79.3	147.9	187.6	180.4	157.3	182.4	180.4	143.2	131.9	78.0	1578.7
Belp	510	605082 / 195001	01.1981-12.2010	71.5	66.2	82.3	87.7	123.4	120.2	117.3	118.9	98.2	89.5	79.2	88.7	1143.1
