Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 02.01.2018 / Date de validation: cf. date de création

Valeurs mensuelles Précipitations / millimètre / Normales 1981-2010

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Benken / Doggen	408	715387 / 227540	01.1981-12.2010	77.2	77.4	105.3	114.2	151.3	186.6	188.5	193.7	151.1	102.1	104.6	102.8	1554.8
Bergün / Latsch	1407	777273 / 166619	01.1981-12.2010	50.9	44.0	56.0	65.8	92.1	119.1	119.2	132.4	89.1	68.5	79.4	56.1	972.6
Bern / Zollikofen	552	601930 / 204410	01.1981-12.2010	59.5	55.1	73.3	82.0	118.8	111.0	105.7	116.0	99.4	87.6	75.8	74.4	1058.6
Bernina / Curtinatsch	2090	795795 / 146486	01.1981-12.2010	43.6	36.3	50.8	66.1	109.7	115.3	117.3	115.9	107.8	103.3	99.3	51.1	1016.5
Beromünster	642	657200 / 228760	01.1981-12.2010	77.4	75.2	90.2	92.8	133.1	138.8	132.9	131.5	99.8	90.1	84.2	92.5	1238.5
Bex	402	565806 / 121511	01.1981-12.2010	71.7	64.9	73.9	75.2	96.6	110.4	115.3	115.8	88.2	80.7	74.1	84.0	1050.8
Beznau	327	659975 / 267750	01.1981-12.2010	93.9	83.2	88.1	73.8	98.3	91.2	93.0	86.3	79.9	87.9	86.5	107.2	1069.3
Beznau	325	659808 / 267694	01.1981-12.2010	86.8	78.2	86.0	70.5	90.6	90.6	92.9	85.3	73.7	82.9	84.2	97.9	1019.6
Biasca	278	718550 / 132800	01.1981-12.2010	74.7	55.7	78.1	144.2	182.2	160.1	163.0	177.1	192.0	166.3	155.5	90.8	1639.7
Biel/Bienne	433	586260 / 218840	01.1981-12.2010	101.1	87.8	88.9	78.8	100.1	99.5	102.3	113.0	97.3	103.7	97.6	117.1	1187.2
Binn	1479	657996 / 135422	01.1981-12.2010	70.6	58.1	77.3	111.4	137.3	103.2	81.5	91.8	119.6	124.8	111.8	74.5	1161.9
Bischofszell	470	735325 / 262285	01.1981-12.2010	53.5	53.5	68.8	76.5	112.1	122.8	122.7	112.1	102.3	72.0	69.6	74.2	1040.1
Bisisthal	785	705770 / 200450	01.1981-12.2010	147.2	146.3	173.4	153.4	179.1	234.7	254.7	256.5	183.2	136.4	167.2	164.0	2196.1
Bivio	1856	771282 / 148120	01.1981-12.2010	65.9	58.1	74.2	103.4	124.4	138.3	126.0	132.5	121.4	106.4	117.8	79.1	1247.5
Bière	683	515889 / 153207	01.1981-12.2010	128.5	114.9	103.9	90.4	104.0	104.1	88.3	97.0	99.3	122.7	111.5	147.4	1312.0
Blatten, Lötschental	1538	629564 / 141084	01.1981-12.2010	98.7	91.7	87.3	67.0	95.0	90.6	85.9	97.9	72.7	91.8	94.0	111.8	1084.4
Blumenstein	655	606260 / 177010	01.1981-12.2010	68.1	70.8	84.4	86.8	135.3	146.5	155.1	141.1	109.5	90.3	81.9	90.1	1259.9
Boltigen	892	596077 / 164296	01.1981-12.2010	101.8	96.2	102.4	91.3	129.8	146.4	154.2	149.5	111.1	99.6	101.5	119.9	1403.7
Bosco/Gurin	1486	680879 / 130027	01.1981-12.2010	94.6	89.4	110.6	212.6	237.3	170.3	145.7	168.9	219.3	207.2	164.3	101.9	1922.1
Boudevilliers	750	558095 / 208130	01.1981-12.2010	104.7	95.3	93.0	80.4	96.1	91.4	93.3	98.9	98.0	105.4	99.3	124.6	1180.4
Bourg-St-Pierre	1664	582155 / 88270	01.1981-12.2010	69.5	59.3	72.0	74.1	90.6	85.3	88.4	84.6	74.7	80.4	75.1	75.1	929.1
Braggio	1315	729975 / 128600	01.1981-12.2010	63.4	48.1	69.7	147.0	211.1	212.3	182.0	194.7	184.8	147.8	135.6	74.9	1671.4
Braunau	592	723115 / 264787	01.1981-12.2010	61.9	61.9	77.3	86.9	125.1	125.3	122.5	120.3	108.5	81.2	78.3	84.2	1133.4
Braunwald	1299	717942 / 199651	01.1981-12.2010	169.5	169.7	189.2	142.5	156.9	191.2	220.4	219.1	165.8	129.0	166.7	175.0	2095.0
Brienz	567	647552 / 176803	01.1981-12.2010	84.8	82.1	91.6	89.0	133.2	143.6	160.1	157.9	105.8	89.2	92.2	95.7	1325.2
Brig	665	640567 / 129069	01.1981-12.2010	68.5	56.7	55.3	56.2	67.4	55.2	43.0	51.7	45.8	65.6	68.7	64.6	698.7
Brissago	280	698200 / 108390	01.1981-12.2010	75.9	63.0	109.3	222.5	237.6	204.5	169.3	203.9	271.5	237.3	190.6	85.2	2070.6
Bristen	784	696223 / 180373	01.1981-12.2010	93.4	84.0	110.9	125.1	145.8	139.4	145.1	157.1	135.5	103.0	120.2	95.8	1455.3
Broc	680	574670 / 162100	01.1981-12.2010	71.0	69.8	84.7	92.0	131.7	138.8	133.0	142.3	109.3	100.4	82.0	91.5	1246.5
Brusio	856	806477 / 127184	01.1981-12.2010	41.0	29.5	44.7	78.5	113.5	106.1	111.2	105.2	100.2	96.1	88.3	56.5	970.8
Brülisau	933	752743 / 240475	01.1981-12.2010	102.1	94.8	129.5	123.7	164.5	193.5	216.6	208.3	166.6	109.1	116.8	114.6	1740.1
Buch, SH	414	700944 / 286039	01.1981-12.2010	56.7	52.9	56.0	61.3	84.6	94.5	89.9	84.6	68.5	69.2	57.6	74.9	850.7
Buchs / Aarau	386	648389 / 248365	01.1981-12.2010	69.3	65.8	76.4	76.2	110.7	112.2	112.2	107.6	89.6	86.9	80.5	88.7	1076.1
Buffalora	1968	816494 / 170225	01.1981-12.2010	33.6	28.0	40.3	51.7	82.7	86.7	107.0	105.5	74.9	74.9	65.8	41.6	792.7
Bullet / La Frétaz	1205	534221 / 188081	01.1981-12.2010	109.9	98.8	99.0	90.6	121.5	117.0	112.6	117.0	112.2	123.8	110.2	120.4	1333.0
Burgdorf	534	612163 / 211782	01.1981-12.2010	70.0	64.2	78.7	82.5	115.2	115.8	108.3	123.6	98.3	89.6	78.0	86.8	1111.0
Bözberg	536	652249 / 259223	01.1981-12.2010	80.5	71.2	80.5	79.6	109.1	105.5	106.7	102.1	86.2	89.4	83.6	93.8	1088.2
Bülach	402	682010 / 263780	01.1981-12.2010	70.6	63.9	72.9	70.6	98.9	101.6	107.1	91.5	80.9	82.1	74.9	84.4	999.4
Camedo	590	690296 / 112207	01.1981-12.2010	80.5	72.4	119.4	249.4	284.8	208.1	172.5	219.7	321.6	267.9	213.7	101.5	2311.5
Campocologno	535	808650 / 123700	01.1981-12.2010	39.2	27.1	44.8	73.9	108.7	96.2	94.0	100.7	93.4	93.4	90.3	54.1	915.8
Cavaglia	1706	799850 / 138470	01.1981-12.2010	74.9	54.6	76.2	125.1	156.0	137.4	131.6	136.1	137.5	153.7	152.4	98.7	1434.2
Cevio	417	689688 / 130565	01.1981-12.2010	73.8	64.7	88.9	174.7	206.5	147.9	142.9	155.6	214.7	192.1	165.5	85.3	1712.6
Cham	442	677758 / 226878	01.1981-12.2010	56.6	55.5	71.4	82.7	122.5	142.8	134.7	133.3	99.3	80.0	70.6	75.7	1125.1
Chanéaz	758	546800 / 175580	01.1981-12.2010	68.7	58.0	69.5	75.8	101.2	98.6	94.1	100.3	100.5	100.6	83.6	85.7	1036.6
Chasseral	1599	570847 / 220158	01.1981-12.2010	103.4	109.2	121.4	106.9	143.8	138.7	127.4	135.9	129.5	132.1	118.2	120.6	1487.1
Chaumont	1136	565060 / 211006	01.1981-12.2010	108.1	100.3	97.3	89.5	116.3	106.5	102.6	121.5	106.6	109.7	105.3	125.1	1288.8
Chavornay	439	531887 / 172741	01.1981-12.2010	64.7	55.8	56.5	61.2	84.8	84.6	80.3	86.2	84.0	82.9	69.8	75.7	886.5
Chur	556	759466 / 193153	01.1981-12.2010	50.7	47.2	54.7	49.2	71.2	92.5	108.9	112.3	81.3	56.0	69.7	54.9	848.6
Château-d'Oex	1029	577040 / 147655	01.1981-12.2010	100.0	87.5	97.8	91.0	123.5	138.0	139.3	144.8	110.9	105.3	99.3	115.8	1353.2
Cimetta	1661	704433 / 117452	01.1981-12.2010	47.7	42.1	68.3	136.9	193.5	182.2	158.6	185.2	209.4	173.3	122.2	63.2	1582.6
Col des Mosses	1412	573818 / 137852	01.1981-12.2010	146.9	133.9	131.8	113.2	143.3	161.0	158.1	156.2	129.4	127.9	133.1	158.7	1693.5
Col du Grand St-Bernard	2472	579200 / 79720	01.1981-12.2010	232.5	208.2	214.6	231.8	212.9	158.2	135.4	135.9	142.8	202.0	248.2	245.6	2368.1
Coldrerio	347	721080 / 79235	01.1981-12.2010	76.0	65.0	82.2	154.3	187.4	135.5	118.7	145.7	170.1	157.1	150.1	91.1	1533.2
Combe-Garot	532	551220 / 201450	01.1981-12.2010	114.8	95.1	102.7	93.6	105.3	99.9	100.7	104.9	102.0	115.9	105.2	128.0	1268.1
Cossonay	590	527563 / 162465	01.1981-12.2010	72.4	62.8	64.8	67.0	91.7	87.5	78.8	88.0	86.8	93.8	76.7	85.8	956.1
Courtelary	695	573623 / 225597	01.1981-12.2010	115.5	100.8	108.6	99.8	126.5	115.6	113.7	114.7	112.2	117.0	111.3	136.9	1372.6
Courtepin	565	576280 / 189930	01.1981-12.2010	67.2	61.8	76.3	86.0	111.3	106.8	95.1	107.7	97.7	94.3	76.5	81.7	1062.4
Couvet	728	540607 / 198345	01.1981-12.2010	113.6	102.0	100.4	89.3	110.6	107.2	102.0	106.6	101.6	107.0	106.2	126.5	1273.0
Davos	1594	783514 / 187458	01.1981-12.2010	66.0	55.9	58.8	55.9	88.1	125.8	135.7	148.0	93.2	61.3	71.6	61.8	1022.1
Degersheim	830	732600 / 247600	01.1981-12.2010	81.5	78.4	109.0	112.5	160.7	178.6	176.1	171.5	141.2	100.3	100.9	99.8	1510.5
Delémont	439	593269 / 244543	01.1981-12.2010	55.9	54.8	65.9	69.5	105.0	95.7	97.6	98.6	83.9	77.3	70.0	72.7	946.9
Diessenhofen	405	696730 / 283130	01.1981-12.2010	60.3	55.1	56.3	61.6	85.7	92.6	90.6	84.6	71.5	73.0	61.3	75.8	868.4
Dietikon	384	672890 / 251865	01.1981-12.2010	75.9	72.3	81.9	81.7	115.5	114.4	115.1	102.1	88.7	88.3	83.6	90.2	1109.7
Dischma	1710	786600 / 182990	01.1981-12.2010	61.5	56.4	61.2	60.4	86.3	123.7	131.0	145.8	94.8	66.3	79.3	65.9	1032.6
Disentis	1197	708189 / 173789	01.1981-12.2010	68.0	57.5	68.3	84.2	115.3	105.8	112.3	121.3	114.1	88.4	99.2	66.2	1100.6
Ebnat-Kappel	623	726347 / 237176	01.1981-12.2010	134.2	120.0	156.3	132.3	161.8	180.0	197.4	192.3	157.6	120.3	133.5	141.8	1827.5
Echallens	603	537455 / 166430	01.1981-12.2010	69.7	58.3	66.9	74.7	101.1	98.0	88.6	99.5	97.5	99.4	79.1	81.8	1014.6
Effretikon	478	695336 / 254992	01.1981-12.2010	68.5	67.8	83.0	89.2	116.4	120.2	122.7	117.6	100.4	83.1	82.8	88.2	1139.9
Eggersriet	814	752170 / 256280	01.1981-12.2010	71.0	73.2	99.2	106.2	142.4	159.9	174.6	171.1	139.5	92.0	101.9	93.7	1424.7
Egolzwil	521	642913 / 225540	01.1981-12.2010	63.9	61.2	74.3	74.0	109.7	109.9	117.5	117.7	89.9	82.1	70.1	80.8	1051.1
Ehrendingen	428	667846 / 262266	01.1981-12.2010	80.0	73.8	85.8	83.0	114.7	114.2	116.5	107.1	92.5	95.4	89.5	97.6	1150.1
Eigenthal	1114	659340 / 203880	01.1981-12.2010	102.0	100.4	134.3	136.9	188.5	206.4	204.2	208.8	153.1	119.9	118.9	123.8	1797.2
Einsiedeln	910	699984 / 221069	01.1981-12.2010	108.2	107.8	141.9	130.2	165.8	196.3	211.1	198.3	156.5	116.4	127.1	131.3	1790.9
Elm	958	732265 / 198425	01.1981-12.2010	103.5	101.4	122.7	110.3	140.1	164.6	188.8	193.4	148.8	103.5	128.1	113.9	1619.1
Engelberg	1035	674157 / 186097	01.1981-12.2010	88.8	89.1	107.8	112.8	154.6	178.1	196.2	190.0	130.0	101.3	108.0	102.6	1559.3
Entlebuch	768	647935 / 204165	01.1981-12.2010	91.5	85.6	106.3	108.7	162.5	174.9	175.3	168.8	121.4	100.1	98.2	109.9	1503.2
Eptingen	565	628720 / 248410	01.1981-12.2010	84.4	81.1	95.2	91.9	124.6	109.8	118.7	113.0	98.3	94.8	88.8	105.0	1205.6
Eriswil	740	631120 / 214600	01.1981-12.2010	81.2	77.7	93.9	97.5	138.6	139.4	129.6	130.3	107.8	97.8	89.9	98.6	1282.3
Erlenbach im Simmental	683	608350 / 167300	01.1981-12.2010	94.3	85.6	89.2	89.5	130.3	143.3	149.1	143.9	99.8	85.7	90.6	107.1	1308.4
Ermatingen	400	723880 / 281420	01.1981-12.2010	67.7	65.3	72.4	76.4	97.3	98.5	99.5	97.5	82.2	76.7	73.2	89.0	995.7
Eschenz	414	707865 / 278227	01.1981-12.2010	64.6	62.1	67.8	74.8	95.6	94.5	89.3	89.3	79.0	75.7	69.5	85.0	947.2
Eschlikon	578	715699 / 256836	01.1981-12.2010	89.1	85.6	97.9	94.9	129.0	131.1	129.5	127.2	111.3	97.5	96.4	107.3	1296.8
Escholzmatt	910	638120 / 195100	01.1981-12.2010	86.5	82.2	102.7	112.9	157.8	184.6	177.6	166.4	125.5	103.2	99.6	105.2	1504.2
Euthal	910	704729 / 217363	01.1981-12.2010	108.8	109.0	140.8	131.2	176.2	213.8	232.6	224.2	164.5	118.3	128.8	133.5	1881.7
Evolène / Villa	1825	605415 / 106740	01.1981-12.2010	50.3	41.0	46.9	52.1	79.4	78.9	81.0	78.9	59.1	58.9	54.8	54.2	735.5
Fahy	596	562458 / 252676	01.1981-12.2010	67.1	65.9	80.5	81.5	117.8	99.8	92.5	105.2	100.0	101.2	87.3	91.3	1090.1
Faido	747	704950 / 148266	01.1981-12.2010	73.8	59.4	79.2	136.2	158.5	136.6	135.7	151.7	172.0	154.8	133.6	81.7	1473.2
Fieschertal	1175	653990 / 142082	01.1981-12.2010	83.7	63.9	79.5	85.1	102.6	81.9	67.4	80.5	75.7	95.8	99.1	84.9	1000.1
Filisur	1030	772250 / 171320	01.1981-12.2010	45.5	40.4	47.9	57.2	84.2	109.2	118.9	123.3	88.1	67.0	76.1	56.9	914.7
Finhaut	1242	564160 / 103590	01.1981-12.2010	105.1	93.2	90.7	78.4	98.1	112.2	115.2	117.0	91.0	109.5	94.2	121.7	1226.3
Fionnay	1500	589960 / 97765	01.1981-12.2010	94.2	88.6	95.3	94.2	109.1	110.6	106.6	103.9	90.6	88.5	92.2	98.3	1172.1
Flawil	570	733050 / 252940	01.1981-12.2010	73.2	70.3	91.8	94.2	131.0	148.2	154.1	139.4	121.9	86.1	85.7	91.2	1287.1
Flims	1050	740720 / 188600	01.1981-12.2010	97.7	90.3	100.0	89.3	107.0	116.8	135.8	141.8	112.2	83.5	107.0	100.9	1282.3
Flühli, LU	939	644332 / 193311	01.1981-12.2010	118.8	109.9	130.7	131.4	176.7	214.8	201.9	188.1	143.2	117.8	124.3	136.3	1793.9
Frauenfeld	393	709480 / 270170	01.1981-12.2010	64.0	62.6	73.5	80.7	114.2	110.1	112.4	112.6	94.0	83.0	77.4	88.6	1073.1
Fribourg / Posieux	646	575182 / 180076	01.1981-12.2010	57.4	54.9	72.0	83.6	125.5	115.1	112.8	117.0	99.5	91.2	74.3	72.0	1075.3
Frick	345	643355 / 262700	01.1981-12.2010	84.3	76.0	85.1	82.4	102.1	99.7	101.8	102.1	86.0	89.4	85.5	99.8	1094.2
Fruence	809	558860 / 152799	01.1981-12.2010	120.6	109.5	123.8	121.7	153.6	147.8	133.4	153.3	135.5	139.7	119.7	137.1	1595.7
Frutigen	756	616774 / 160884	01.1981-12.2010	87.1	78.6	82.8	88.0	117.3	137.7	148.1	148.4	97.2	80.4	78.9	92.8	1237.3
Fräschels	454	582300 / 205070	01.1981-12.2010	65.0	58.2	68.4	72.0	97.2	96.7	92.7	100.5	93.4	93.5	76.0	85.3	998.9
Gadmen	1190	669750 / 176610	01.1981-12.2010	111.9	117.4	130.7	117.4	158.1	173.0	181.1	178.1	128.6	107.8	120.2	120.0	1644.3
Gempen, SO	585	616260 / 260400	01.1981-12.2010	56.6	56.0	67.5	81.5	120.7	105.1	106.3	102.3	94.7	89.4	74.0	78.4	1032.5
Genève / Aire	376	495935 / 116925	01.1981-12.2010	69.8	59.3	65.1	66.7	80.6	85.0	69.3	75.9	94.4	99.8	84.2	82.7	932.8
Genève / Cointrin	410	498905 / 122632	01.1981-12.2010	75.8	67.8	70.1	71.5	83.7	92.0	78.6	81.7	100.5	104.9	88.5	90.1	1005.2
Giswil	471	657320 / 188980	01.1981-12.2010	79.8	75.3	89.6	87.2	126.9	152.3	156.4	161.4	106.2	85.3	90.0	93.8	1304.2
Glarus	516	723752 / 210568	01.1981-12.2010	86.3	85.0	105.3	97.2	129.9	168.0	198.3	190.5	137.8	95.9	108.1	104.2	1506.5
Grimentz	1512	610768 / 114289	01.1981-12.2010	62.3	53.3	55.1	51.5	78.3	84.6	85.1	91.0	61.1	67.2	57.2	64.7	811.4
Grimsel Hospiz	1980	668583 / 158215	01.1981-12.2010	198.5	170.5	183.8	149.5	154.0	132.6	129.6	134.5	127.8	120.2	174.4	180.9	1856.3
Grindelwald	1158	645793 / 164458	01.1981-12.2010	95.3	93.9	102.6	108.7	142.4	137.3	151.1	158.1	111.0	94.0	96.1	93.9	1384.4
Grono	323	733017 / 124090	01.1981-12.2010	61.9	46.4	73.2	130.3	172.0	163.4	157.5	168.2	170.6	128.8	127.4	76.5	1476.2
Gross, SZ	897	701799 / 218841	01.1981-12.2010	115.0	115.1	146.4	133.5	179.2	212.3	220.4	203.5	163.6	121.7	132.5	136.5	1879.7
Grosshöchstetten	755	616015 / 194885	01.1981-12.2010	71.8	67.6	85.5	98.6	150.4	156.9	155.2	143.2	113.2	92.7	82.7	86.4	1304.2
Gryon	1146	571520 / 125125	01.1981-12.2010	103.0	95.2	103.4	100.8	128.4	139.6	137.4	138.8	109.7	100.5	101.2	114.6	1372.6
Grächen	1605	630739 / 116062	01.1981-12.2010	44.4	38.4	48.4	55.9	74.7	58.6	51.0	60.6	50.6	64.8	53.5	52.1	653.0
Grüningen	535	698752 / 236666	01.1981-12.2010	73.6	70.9	94.0	94.9	131.5	151.0	149.4	150.7	124.1	92.5	91.6	94.6	1318.8
Grüsch	590	766900 / 204900	01.1981-12.2010	97.0	91.2	101.2	80.9	102.1	121.2	139.0	142.4	110.2	78.0	99.9	105.7	1268.8
Gstaad	1045	588260 / 146165	01.1981-12.2010	107.5	105.2	98.2	89.3	124.7	151.0	143.4	144.4	104.0	98.4	97.9	118.2	1382.2
Gsteig, Gstaad	1196	587680 / 136130	01.1981-12.2010	139.9	128.0	126.2	110.0	145.7	173.9	169.0	163.8	124.5	128.1	125.1	150.1	1684.3
Guglera	877	585040 / 177635	01.1981-12.2010	66.6	65.3	89.6	99.7	157.5	153.4	145.5	146.6	124.9	113.6	85.6	86.0	1334.3
Guttannen	1055	665296 / 167601	01.1981-12.2010	116.2	116.8	136.5	139.1	164.4	155.5	156.1	162.2	130.5	112.9	136.7	123.2	1650.1
Göschenen	950	688477 / 171926	01.1981-12.2010	104.5	97.0	108.3	113.8	131.6	108.1	106.6	112.5	110.4	103.9	129.9	103.8	1330.4
Göscheneralp	1745	681250 / 166790	01.1981-12.2010	107.1	102.7	122.5	124.6	156.2	143.4	130.9	147.8	153.7	132.4	140.1	105.8	1567.2
Gösgen	380	640417 / 245937	01.1981-12.2010	69.5	63.0	73.8	76.5	99.0	99.9	105.4	107.1	80.9	79.6	71.6	82.4	1008.7
Gütsch, Andermatt	2283	690050 / 167475	01.1981-12.2010	136.7	118.2	126.5	120.3	132.3	120.3	120.0	131.5	117.5	95.0	117.8	117.1	1453.2
Güttingen	440	738420 / 273960	01.1981-12.2010	53.1	52.1	63.8	70.5	99.8	102.3	108.3	95.5	87.1	70.9	68.9	74.5	946.8
Hallau	419	677456 / 283472	01.1981-12.2010	71.3	60.8	66.5	64.4	86.0	87.3	82.0	70.7	61.1	72.2	60.9	81.3	864.5
Hausen am Albis	590	682060 / 232660	01.1981-12.2010	65.0	67.9	85.9	108.6	153.2	178.1	165.9	158.7	125.1	95.6	90.8	92.9	1387.7
Herbetswil	544	611292 / 238435	01.1981-12.2010	104.1	92.1	96.9	92.7	117.9	114.6	111.3	115.3	97.2	95.5	93.7	116.1	1247.4
Herisau	700	737730 / 250830	01.1981-12.2010	81.7	74.3	104.4	104.0	147.6	167.7	175.4	162.0	132.9	93.7	94.2	97.3	1435.2
Herzogenbuchsee	467	619970 / 227350	01.1981-12.2010	81.3	73.4	81.9	79.9	107.4	115.2	111.7	121.2	99.9	93.6	84.4	98.5	1148.4
Hessigkofen	580	602350 / 221220	01.1981-12.2010	88.1	79.8	82.3	80.5	107.3	105.8	104.6	121.1	99.2	97.1	89.7	105.0	1160.5
Hinterrhein	1611	733900 / 153980	01.1981-12.2010	50.0	36.6	64.5	137.2	196.8	175.4	171.2	184.1	185.6	178.7	150.4	67.3	1597.8
Hinwil	539	703803 / 240755	01.1981-12.2010	72.6	72.0	91.0	101.4	136.6	152.2	153.0	155.3	130.4	95.7	93.7	97.3	1351.2
Hoch-Ybrig	1458	702760 / 207630	01.1981-12.2010	169.8	170.1	207.7	182.3	213.1	270.3	285.0	282.1	203.6	153.8	178.9	187.6	2504.3
Hondrich	760	618525 / 169130	01.1981-12.2010	73.8	73.6	83.8	94.3	140.1	158.8	158.6	162.2	116.3	86.9	82.9	89.5	1320.8
Huttwil	633	630261 / 218189	01.1981-12.2010	86.6	82.4	100.4	98.1	130.5	127.2	128.7	126.3	106.6	98.2	88.5	102.2	1275.7
Hérémence	1218	597356 / 114092	01.1981-12.2010	66.0	59.3	57.1	50.7	68.4	77.2	70.0	78.3	57.3	63.9	62.1	75.7	786.0
