political_framework;CO2_reduction_%;renewable_energy_%;final_energy-reduction_%;primary_energy_reduction_%;reference_year;objective_year;note;reference
Paris agreement;30;;;;1990;2030;50 % whole, including 20% outside the country; OFEN, Switzerland’s climate policy, 2018 + https://www.swissinfo.ch/eng/cop21_switzerland-signs-paris-climate-agreement/42107978
3x20_2020;20;20;;;1990;2020;;https://fr.wikipedia.org/wiki/Paquet_climat-%C3%A9nergie
3x20_2030;40;27;;;1990;2030;;https://fr.wikipedia.org/wiki/Paquet_climat-%C3%A9nergie
societe_2000_W_2020;25;20;;25;2005;2020;;B. Bébié, C. Hartmann, Ecospeed AG, S. Lenel, Intep GmbH et al. «Les Cités de l'énergie, les villes, les communes et les régions sur la voie de la société à 2000 watts.» SwissEnergy, 2010.
societe_2000_W_2035;50;45;;50;2005;2035;;B. Bébié, C. Hartmann, Ecospeed AG, S. Lenel, Intep GmbH et al. «Les Cités de l'énergie, les villes, les communes et les régions sur la voie de la société à 2000 watts.» SwissEnergy, 2010.
societe_2000_W_2050;75;65;;75;2005;2050;;B. Bébié, C. Hartmann, Ecospeed AG, S. Lenel, Intep GmbH et al. «Les Cités de l'énergie, les villes, les communes et les régions sur la voie de la société à 2000 watts.» SwissEnergy, 2010.
strategie_energetique_2050;;;43;;2000;2035;;SwissEnergie, Feuille d’information no 5: Stratégie énergétique 2050, 2015
strategie_energetique_2050;;;54;;2000;2050;;SwissEnergie, Feuille d’information no 5: Stratégie énergétique 2050, 2015
