English_Name,LCA_UB,EP_Global,EP_Renew,EP_Nonrenew,EP_Renew_Onsite,CO2,French_Name
Photovoltaic (PV) pitched roof,169.0,1.54,1.22,0.318,0.0,0.0914,Photovoltaïque toiture inclinée
Photovoltaic (PV) flat roof,156.0,1.55,1.22,0.324,0.0,0.0958,Photovoltaïque toiture plate
Photovoltaic (PV) wall,225.0,1.7,1.24,0.461,0.0,0.135,Photovoltaïque façade
Wind power,74.0,1.29,1.2,0.0937,0.0,0.026,Energie éolienne
Hydro-electric power,43.8,1.2,1.17,0.029,0.0,0.0122,Energie hydraulique
Pumped accumulation,451.0,3.9,0.631,3.26,0.0,0.139,Accumulation par pompage
Cogeneration (CHP) plant - geothermal,103.0,3.36,3.17,0.191,0.0,0.0309,Centrale à cogénération - géothermie
Swiss production mix,229.0,2.5,0.657,1.85,0.0,0.0268,Mix de production CH
Mix of renewable energy  Swiss,47.8,1.21,1.17,0.0359,0.0,0.0153,Mix de produits des énergies renouvelables CH
Swiss consumer mix,347.0,3.0,0.488,2.52,0.0,0.102,Mix consommateur CH3
Mix ENTSO-E (former mix UCTE),548.0,3.18,0.299,2.89,0.0,0.524,Mix ENTSO-E (anc. mix UCTE) 
Photovoltaic (PV),129.0,1.4,1.11,0.289,1.07,0.0812,Photovoltaïque
Photovoltaic (PV) pitched roof,124.0,1.38,1.11,0.275,1.07,0.0767,Photovoltaïque toiture inclinée
Photovoltaic (PV) flat roof,112.0,1.39,1.11,0.28,1.07,0.0807,Photovoltaïque toiture plate
Photovoltaic (PV) wall,175.0,1.52,1.12,0.402,1.07,0.115,Photovoltaïque façade
Wind power,38.1,1.16,1.09,0.0709,1.08,0.0173,Energie éolienne
biogas,309.0,0.811,0.0773,0.733,0.0,0.358,Biogaz
Agricultural biogas,179.0,0.16,0.0356,0.124,0.0,0.155,Biogaz agricole
Cogeneration (CHP) plant - small gas,447.0,3.4,0.00704,3.39,0.0,0.749,Centrale à cogénération - petite - gaz
