Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 02.01.2018 / Date de validation: cf. date de création

Valeurs mensuelles Température moyenne minimale de l'air à 2m / degré Celsius / Normales 1961-1990

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Aadorf / Tänikon	539	710515 / 259821	01.1961-12.1990	-4.6	-3.6	-1.0	1.9	5.8	9.4	11.1	10.8	8.1	4.6	-0.1	-3.2	3.3
Acquarossa / Comprovasco	575	714998 / 146440	01.1961-12.1990	-2.0	-1.4	1.1	4.1	7.8	10.8	13.0	12.4	10.1	6.3	1.7	-0.9	5.3
Adelboden	1326	609350 / 149001	01.1961-12.1990	-5.9	-5.6	-3.9	-0.8	3.2	6.0	8.2	8.1	6.1	3.1	-2.0	-4.7	1.0
Aigle	381	560401 / 130713	01.1961-12.1990	-3.1	-1.6	0.9	3.8	8.0	11.1	12.6	12.2	9.4	5.3	1.1	-2.1	4.8
Altdorf	438	690174 / 193558	01.1961-12.1990	-2.6	-1.4	0.4	3.4	7.3	10.5	12.6	12.0	9.5	5.7	1.1	-2.2	4.7
Andermatt	1438	687444 / 165044	01.1961-12.1990	-8.2	-7.8	-5.0	-1.3	2.8	5.4	7.6	7.4	4.9	1.6	-3.8	-7.5	-0.3
Arosa	1878	771030 / 184826	01.1961-12.1990	-6.9	-7.0	-5.3	-2.3	1.7	4.9	7.3	7.2	5.2	2.1	-3.0	-5.9	-0.2
Bad Ragaz	496	756910 / 209351	01.1961-12.1990	-3.7	-2.3	0.7	4.1	8.1	11.1	13.1	12.9	10.4	6.1	1.2	-2.8	4.9
Basel / Binningen	316	610911 / 265601	01.1961-12.1990	-1.9	-0.7	1.7	4.4	8.2	11.3	13.3	13.1	10.5	6.7	2.0	-0.8	5.7
Bern / Zollikofen	552	601930 / 204410	01.1961-12.1990	-4.2	-2.8	-0.5	2.5	6.3	9.5	11.4	11.0	8.4	4.6	0.0	-3.1	3.6
Biel/Bienne	433	586260 / 218840	01.1961-12.1990	-2.4	-1.3	0.9	4.1	8.2	11.6	13.6	13.1	10.3	6.4	1.8	-1.2	5.4
Blatten, Lötschental	1538	629564 / 141084	01.1961-12.1990	-10.5	-10.3	-7.5	-3.9	0.2	2.8	4.9	4.6	2.6	-0.5	-5.5	-9.1	-2.7
Buchs / Aarau	386	648389 / 248365	01.1961-12.1990	-2.8	-2.0	0.2	3.2	7.2	10.5	12.1	11.6	9.1	5.8	1.3	-1.6	4.6
Buffalora	1968	816494 / 170225	01.1961-12.1990	-16.3	-15.6	-12.3	-7.3	-2.1	1.2	3.0	2.7	0.2	-4.0	-10.4	-15.2	-6.3
Bullet / La Frétaz	1205	534221 / 188081	01.1961-12.1990	-4.9	-4.4	-2.4	0.2	4.0	7.1	9.4	9.2	7.1	3.9	-1.4	-3.7	2.0
Chasseral	1599	570847 / 220158	01.1961-12.1990	-5.5	-5.7	-4.1	-1.9	2.2	5.3	7.7	7.6	5.6	2.9	-2.2	-4.5	0.6
Chaumont	1136	565060 / 211006	01.1961-12.1990	-5.4	-4.8	-2.8	0.4	4.4	7.3	9.5	9.3	7.2	3.7	-1.4	-4.2	1.9
Chur	556	759466 / 193153	01.1961-12.1990	-3.5	-2.0	0.8	3.8	7.6	10.6	12.5	12.2	9.7	5.7	0.7	-2.9	4.6
Château-d'Oex	1029	577040 / 147655	01.1961-12.1990	-6.8	-6.0	-3.4	-0.2	3.9	7.1	9.0	8.6	6.2	2.6	-2.3	-5.7	1.1
Cimetta	1661	704433 / 117452	01.1961-12.1990	-4.3	-4.6	-2.6	-0.3	3.6	7.3	9.8	9.6	7.5	3.9	-0.9	-3.4	2.1
Col du Grand St-Bernard	2472	579200 / 79720	01.1961-12.1990	-10.2	-10.4	-9.5	-6.7	-2.4	1.0	4.0	4.0	1.9	-1.4	-6.5	-9.0	-3.8
Davos	1594	783514 / 187458	01.1961-12.1990	-9.8	-9.6	-7.0	-3.4	0.8	3.8	5.9	5.8	3.3	-0.1	-5.1	-8.6	-2.0
Delémont	439	593269 / 244543	01.1961-12.1990	-3.8	-2.4	-0.5	2.3	6.2	9.4	11.0	10.9	8.6	5.0	0.3	-2.8	3.7
Disentis	1197	708189 / 173789	01.1961-12.1990	-5.1	-4.6	-2.5	0.6	4.5	7.3	9.5	9.3	7.2	3.9	-1.1	-4.2	2.1
Ebnat-Kappel	623	726347 / 237176	01.1961-12.1990	-5.9	-4.6	-1.9	1.1	4.9	8.3	10.3	9.9	6.9	3.1	-1.6	-5.0	2.1
Einsiedeln	910	699984 / 221069	01.1961-12.1990	-6.4	-5.4	-2.7	1.0	5.1	8.4	10.7	10.2	7.6	3.8	-1.2	-5.1	2.2
Elm	958	732265 / 198425	01.1961-12.1990	-7.0	-6.2	-3.4	0.4	4.4	7.5	9.8	9.3	6.7	3.0	-2.3	-6.0	1.4
Engelberg	1035	674157 / 186097	01.1961-12.1990	-6.5	-5.5	-3.1	0.1	4.1	7.0	9.2	8.9	6.6	3.1	-1.9	-5.6	1.4
Evolène / Villa	1825	605415 / 106740	01.1961-12.1990	-6.6	-6.6	-5.0	-2.4	1.7	4.4	6.9	7.0	5.1	2.1	-2.9	-5.3	-0.1
