Département fédéral de l'intérieur DFI
Office fédéral de météorologie et de climatologie
MétéoSuisse

Date de création: 02.01.2018 / Date de validation: cf. date de création

Valeurs mensuelles Température moyenne minimale de l'air à 2m / degré Celsius / Normales 1961-1990

Station	Altitude [m]	Coordonnées CH	Période de référence	Jan	Fév	Mar	Avr	Mai	Jun	Jul	Aoû	Sep	Oct	Nov	Dec	Ann.
Fahy	596	562458 / 252676	01.1961-12.1990	-3.2	-2.2	0.2	2.9	6.7	9.7	11.8	11.5	9.2	5.4	0.7	-2.2	4.2
Fey	737	586725 / 115180	01.1961-12.1990	-2.6	-1.4	0.9	4.0	8.0	11.2	13.2	12.9	10.6	6.9	1.9	-1.4	5.4
Fribourg / Posieux	646	575182 / 180076	01.1961-12.1990	-4.2	-2.9	-0.7	2.2	6.1	9.5	11.5	11.1	8.4	4.7	0.0	-3.1	3.6
Genève / Cointrin	410	498905 / 122632	01.1961-12.1990	-2.1	-0.9	0.9	3.9	7.6	10.8	12.9	12.5	9.9	6.2	1.9	-0.7	5.2
Glarus	516	723752 / 210568	01.1961-12.1990	-4.0	-2.7	-0.1	3.2	7.0	10.0	12.1	11.8	9.3	5.3	0.5	-3.3	4.1
Grimsel Hospiz	1980	668583 / 158215	01.1961-12.1990	-8.8	-8.8	-7.3	-4.4	0.0	3.2	5.6	5.6	3.9	1.1	-4.0	-7.6	-1.8
Grono	323	733017 / 124090	01.1961-12.1990	-3.4	-1.9	0.7	4.2	7.9	11.3	13.7	13.3	10.5	6.3	1.0	-2.6	5.1
Grächen	1605	630739 / 116062	01.1961-12.1990	-5.9	-5.8	-4.3	-1.3	2.7	5.9	8.4	8.2	6.1	2.9	-2.4	-5.3	0.8
Gstaad	1045	588260 / 146165	01.1961-12.1990	-8.3	-7.2	-4.6	-0.8	3.2	6.1	8.3	8.0	5.4	1.5	-3.3	-7.2	0.1
Gütsch, Andermatt	2283	690050 / 167475	01.1961-12.1990	-9.3	-9.5	-8.2	-5.7	-1.5	1.6	4.2	4.2	2.4	-0.5	-5.6	-8.1	-3.0
Güttingen	440	738420 / 273960	01.1961-12.1990	-3.1	-2.3	0.1	3.1	7.1	10.5	12.4	12.1	9.6	5.8	1.1	-2.0	4.5
Hallau	419	677456 / 283472	01.1961-12.1990	-4.2	-3.1	-0.7	2.3	6.2	9.5	11.2	10.8	8.2	4.4	0.2	-2.9	3.5
Hinterrhein	1611	733900 / 153980	01.1961-12.1990	-12.1	-12.0	-8.7	-3.7	0.9	3.4	5.4	5.4	3.0	-0.7	-6.2	-10.7	-3.0
Interlaken	577	633019 / 169093	01.1961-12.1990	-3.9	-2.8	-0.5	2.8	6.7	9.9	12.1	11.6	8.9	4.8	0.2	-2.9	3.9
Jungfraujoch	3580	641930 / 155275	01.1961-12.1990	-16.6	-16.8	-15.7	-13.4	-9.0	-5.9	-3.4	-3.3	-5.1	-7.6	-12.8	-15.3	-10.4
Koppigen	484	612662 / 218664	01.1961-12.1990	-4.5	-3.2	-0.7	2.5	6.5	9.8	11.5	11.2	8.5	4.8	0.2	-3.0	3.6
La Brévine	1050	536982 / 203974	01.1961-12.1990	-11.2	-9.2	-7.1	-3.2	0.4	3.1	5.5	5.4	2.9	-0.5	-5.5	-9.7	-2.4
La Chaux-de-Fonds	1017	550919 / 214861	01.1961-12.1990	-6.4	-5.5	-3.5	-0.1	3.6	6.6	8.7	8.3	6.1	2.9	-2.0	-4.9	1.2
La Dôle	1669	497061 / 142362	01.1961-12.1990	-5.9	-5.8	-4.5	-2.0	1.9	5.1	7.7	7.6	5.8	2.7	-2.5	-4.8	0.4
Langnau i.E.	745	628005 / 198792	01.1961-12.1990	-4.9	-3.6	-1.2	1.8	5.8	9.0	11.0	10.7	8.3	4.5	-0.3	-3.7	3.1
Le Moléson	1974	567723 / 155072	01.1961-12.1990	-6.7	-6.8	-5.7	-3.4	0.6	3.8	6.3	6.3	4.6	2.0	-2.9	-5.4	-0.6
Locarno / Monti	366	704160 / 114350	01.1961-12.1990	0.2	1.2	3.9	7.2	10.8	14.1	16.6	16.0	13.3	9.0	4.2	1.2	8.1
Lugano	273	717874 / 95884	01.1961-12.1990	0.1	1.3	3.9	7.2	11.0	14.2	16.7	16.0	13.3	9.1	4.4	1.0	8.2
Luzern	454	665540 / 209848	01.1961-12.1990	-3.1	-2.0	0.4	3.7	7.9	11.1	13.3	13.0	10.1	5.9	1.1	-1.9	5.0
Magadino / Cadenazzo	203	715480 / 113162	01.1961-12.1990	-4.0	-1.8	1.2	5.0	9.2	12.7	14.9	14.2	10.9	5.9	0.8	-2.8	5.5
Meiringen	588	655844 / 175930	01.1961-12.1990	-6.0	-4.5	-1.4	2.3	6.3	9.3	11.3	10.8	8.2	4.2	-0.7	-4.9	2.9
Montana	1427	601706 / 127482	01.1961-12.1990	-6.5	-6.4	-4.4	-1.1	3.2	6.3	8.6	8.2	6.2	2.9	-2.2	-5.1	0.8
Montreux-Clarens	405	558560 / 143600	01.1961-12.1990	-0.8	0.3	2.4	5.5	9.5	12.8	15.1	14.7	12.0	8.0	3.3	0.0	6.9
Napf	1403	638133 / 206079	01.1961-12.1990	-4.9	-4.7	-2.9	-0.6	3.6	6.6	9.3	9.1	7.1	4.1	-1.1	-3.6	1.8
Neuchâtel	485	563087 / 205560	01.1961-12.1990	-1.5	-0.5	1.6	4.7	8.4	11.6	13.9	13.5	11.1	7.2	2.6	-0.4	6.0
Nyon / Changins	455	506880 / 139573	01.1961-12.1990	-2.1	-0.9	1.0	3.9	7.6	10.8	13.1	12.9	10.4	6.6	2.0	-1.0	5.4
Passo del Bernina	2260	798422 / 143020	01.1961-12.1990	-11.3	-11.5	-9.6	-6.2	-1.7	2.0	4.8	4.6	2.4	-1.2	-6.7	-10.3	-3.7
Payerne	490	562127 / 184612	01.1961-12.1990	-3.3	-2.1	0.0	3.0	6.8	10.0	11.9	11.6	9.0	5.3	0.9	-2.1	4.3
Pilatus	2106	661910 / 203410	01.1961-12.1990	-7.5	-7.6	-6.4	-4.4	-0.1	2.8	5.4	5.2	3.5	1.2	-4.1	-6.4	-1.5
Piotta	990	695888 / 152261	01.1961-12.1990	-5.6	-4.7	-2.0	1.2	5.2	8.3	10.6	10.1	7.7	3.6	-1.4	-4.4	2.4
Piz Corvatsch	3302	783151 / 143522	01.1961-12.1990	-14.9	-15.1	-14.2	-11.3	-7.0	-3.8	-1.2	-1.1	-2.8	-5.5	-10.9	-13.7	-8.5
Plaffeien	1042	586808 / 177400	01.1961-12.1990	-4.6	-3.9	-1.8	1.0	4.9	8.0	10.3	10.2	7.7	3.9	-0.8	-3.7	2.6
Poschiavo / Robbia	1078	801850 / 136180	01.1961-12.1990	-7.2	-6.2	-2.8	1.0	4.3	7.1	9.2	8.8	6.4	2.5	-2.1	-5.7	1.3
Pully	455	540811 / 151514	01.1961-12.1990	-0.4	0.6	2.8	5.6	9.5	12.7	15.1	14.6	12.1	8.4	3.8	0.7	7.1
Rheinfelden	300	626970 / 266320	01.1961-12.1990	-3.0	-1.9	0.2	3.0	7.1	10.4	12.3	11.9	9.3	5.9	1.0	-1.9	4.5
Rünenberg	611	633246 / 253846	01.1961-12.1990	-3.1	-2.0	0.7	3.6	7.5	10.6	12.7	12.4	9.9	6.0	1.3	-1.9	4.8
S. Bernardino	1638	734112 / 147296	01.1961-12.1990	-8.3	-8.0	-5.7	-2.3	1.5	5.0	7.3	6.9	4.6	0.9	-4.0	-7.3	-0.8
Salen-Reutenen	718	719099 / 279047	01.1961-12.1990	-3.4	-2.6	0.1	3.0	7.1	10.4	12.6	12.2	9.8	5.9	1.0	-2.4	4.5
Samedan	1708	787250 / 155685	01.1961-12.1990	-16.2	-16.2	-12.0	-5.4	-0.8	1.7	3.3	3.0	0.3	-4.1	-10.0	-14.9	-5.9
Schaffhausen	438	688698 / 282796	01.1961-12.1990	-3.3	-2.3	0.6	3.9	7.9	10.9	12.5	12.1	9.5	5.7	1.1	-1.9	4.7
Scuol	1303	817135 / 186393	01.1961-12.1990	-8.9	-7.8	-4.7	-0.9	3.1	6.0	8.0	7.8	5.1	1.1	-4.0	-8.1	-0.3
Segl-Maria	1804	778575 / 144976	01.1961-12.1990	-13.3	-13.1	-9.8	-4.9	-0.2	3.1	5.1	5.0	2.5	-1.4	-6.4	-10.8	-3.7
Sion	482	591630 / 118575	01.1961-12.1990	-3.8	-2.1	0.8	4.0	7.8	10.8	12.5	12.0	9.0	4.5	-0.1	-3.3	4.3
St. Gallen	775	747865 / 254588	01.1961-12.1990	-3.8	-2.9	-0.1	2.8	6.8	9.9	12.1	11.8	9.3	5.4	0.7	-2.8	4.1
Sta. Maria, Val Müstair	1383	828861 / 165580	01.1961-12.1990	-6.8	-6.4	-3.8	-0.1	4.1	7.3	9.4	9.0	6.5	2.6	-2.4	-5.9	1.1
Stabio	353	716050 / 77966	01.1961-12.1990	-4.9	-3.7	-0.3	3.4	7.6	11.0	13.3	12.9	10.1	5.6	0.4	-3.5	4.3
Säntis	2502	744200 / 234920	01.1961-12.1990	-10.6	-10.8	-9.7	-7.1	-2.8	0.2	2.6	2.7	1.0	-1.4	-6.8	-9.4	-4.3
Ulrichen	1345	666740 / 150760	01.1961-12.1990	-13.1	-12.2	-7.7	-2.7	1.4	4.1	5.9	5.6	3.1	-0.9	-6.6	-11.8	-2.9
Vaduz	457	757719 / 221697	01.1961-12.1990	-3.3	-1.8	1.4	4.2	8.2	11.2	13.0	12.8	10.2	5.9	1.2	-2.4	5.1
Visp	639	631149 / 128020	01.1961-12.1990	-5.6	-3.7	-0.4	2.5	6.3	9.1	10.7	10.3	7.6	3.3	-1.2	-4.9	2.8
Weissfluhjoch	2691	780615 / 189634	01.1961-12.1990	-11.8	-12.1	-10.9	-8.1	-3.7	-0.6	1.8	2.1	0.3	-2.4	-7.6	-10.4	-5.3
Wynau	422	626400 / 233850	01.1961-12.1990	-3.2	-2.4	-0.4	2.8	6.8	10.0	11.8	11.4	8.9	5.6	1.0	-2.0	4.2
Wädenswil	485	693847 / 230744	01.1961-12.1990	-3.2	-2.1	0.4	3.7	7.7	11.0	13.1	12.6	10.0	6.1	1.5	-1.9	4.9
Zermatt	1638	624350 / 97560	01.1961-12.1990	-8.4	-7.8	-5.5	-2.2	2.1	4.8	6.8	6.7	4.2	0.7	-4.0	-7.1	-0.8
Zürich / Affoltern	443	681428 / 253546	01.1961-12.1990	-3.7	-2.7	-0.3	2.9	6.8	10.0	11.9	11.6	8.8	5.2	0.7	-2.2	4.1
Zürich / Fluntern	555	685117 / 248066	01.1961-12.1990	-2.6	-1.7	0.8	3.8	7.6	10.7	12.9	12.5	10.1	6.4	1.6	-1.5	5.1
Zürich / Kloten	426	682710 / 259339	01.1961-12.1990	-3.5	-2.8	-0.4	2.8	6.6	9.9	11.9	11.5	8.8	5.3	0.7	-2.2	4.1

