Date,Retailer Chain,Country,Product Unit,ProductFamilyName,Spec,SellThruUnits,Retail Price (LC),ERP (LC),Promotion (%)
1/15/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,361,600,599,0.002
1/22/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,906,600,599,0.002
1/29/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1354,600,599,0.002
2/5/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1712,600,599,0.002
2/12/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1545,600,599,0.002
2/19/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2111,600,599,0.002
2/26/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1191,600,599,0.002
4/24/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,0,600,599,0.002
5/1/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,78,600,599,0.002
5/8/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,4205,600,599,0.002
5/15/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2538,600,599,0.002
5/22/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1894,600,599,0.002
5/29/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2169,600,599,0.002
6/5/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2332,600,599,0.002
6/12/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2061,600,599,0.002
