function_name,parameters,output
choose,lg|df1|df2,df
absolute,df,df
log,df,df
sign,df,df
add,df|both,df
subtract,df|both,df
multiply,df|both,df
divide,df|both,df
multiply_rank,df1|df2,df
rank,df,df
delay,df|num,df
correlation,df1|df2|num,df
covariance,df1|df2|num,df
scale,df,df
delta,df|num,df
signedpower,df|num,df
linear_decay,df|num,df
indneutralize,df|group,df
ts_min,df|num,df
ts_max,df|num,df
ts_argmax,df|num,df
ts_argmin,df|num,df
ts_rank,df|num,df
ts_rank2,df|num,df
ts_sum,df|num,df
ts_product,df|num,df
ts_std,df|num,df
reg_cap,df|cap,df
le,df|both,lg
ge,df|both,lg
or_df,lg|lg2,lg
eql,df|both,lg
