,LCA_UB,EP_Global,EP_Renew,EP_Nonrenew,EP_Renew_Onsite,CO2,EnerType,FRA,EP_Percent_Renew,GER,ENG
0,234.0,1.24,0.00902,1.23,0.0,0.301,final,Mazout EL,0.7274193548387097,Heizöl EL,Oil EL
1,137.0,1.07,0.00447,1.06,0.0,0.228,final,Gaz naturel,0.4177570093457944,Erdgas,Natural gas
2,200.0,1.16,0.00841,1.15,0.0,0.273,final,Propane/butane,0.7250000000000001,Propan/Butan,Propane/butane
3,477.0,1.47,0.0132,1.45,0.0,0.439,final,Coke de houille,0.8979591836734694,Kohle Koks,Coal coke
4,456.0,1.2,0.00831,1.2,0.0,0.399,final,Briquette de houille,0.6925,Kohle Brikett,Briquette of coal
5,93.1,1.11,0.994,0.116,0.0,0.0274,final,Bûches de bois,89.54954954954954,Stückholz,Logs of wood
6,88.2,1.11,0.994,0.119,0.0,0.0275,final,Bûches de bois avec filtre à particules,89.54954954954954,Stückholz mit Partikelfilter,Logs of wood with particle filter
7,80.8,1.11,1.05,0.0628,0.0,0.0107,final,Particules de bois,94.5945945945946,Holzschnitzel,Particles of wood
8,73.7,1.12,1.05,0.0651,0.0,0.0108,final,Particules de bois avec filtre à particules,93.75,Holzschnitzel mit Partikelfilter,Particles of wood with particle filter
9,81.1,1.2,1.04,0.157,0.0,0.0272,final,Granules (pellets),86.66666666666667,Pellets,Pellets
10,76.8,1.2,1.04,0.16,0.0,0.0273,final,Granules (pellets) avec filtre à particules,86.66666666666667,Pellets mit Partikelfilter,Pellets with particle filter
11,109.0,0.332,0.0321,0.299,0.0,0.13,final,Biogaz,9.66867469879518,Biogas,biogas
12,109.0,0.332,0.0321,0.299,0.0,0.13,final,Biogaz,9.66867469879518,Biogas,biogas
13,309.0,0.811,0.0773,0.733,0.0,0.358,final,Biogaz,9.531442663378543,Biogas,biogas
14,309.0,0.811,0.0773,0.733,0.0,0.358,final,Biogaz,9.531442663378543,Biogas,biogas
15,341.0,1.7,0.0155,1.68,0.0,0.408,final,Centrale de chauffage - pétrole,0.9117647058823529,Heizzentrale Oel,Central heating oil
16,194.0,1.52,0.0147,1.51,0.0,0.314,final,Centrale de chauffage - gaz,0.9671052631578947,Heizzentrale Gas,Central heating gas
17,120.0,1.72,1.58,0.143,0.0,0.0496,final,Centrale de chauffage - bois,91.86046511627907,Heizzentrale Holz,Central heating wood
18,102.0,1.46,1.33,0.128,0.0,0.0423,final,Centrale à cogénération - bois,91.09589041095892,Heizkraftwerk Holz,Cogeneration (CHP) plant wood
19,102.0,1.46,1.33,0.128,0.0,0.0423,final,Centrale à cogénération - bois,91.09589041095892,Heizkraftwerk Holz,Cogeneration (CHP) plant - wood
20,295.0,3.88,3.64,0.24,0.0,0.118,final,Centrale à cogénération - bois,93.81443298969073,Heizkraftwerk Holz,Cogeneration (CHP) plant wood
21,295.0,3.88,3.64,0.24,0.0,0.118,final,Centrale à cogénération - bois,93.81443298969073,Heizkraftwerk Holz,Cogeneration (CHP) plant - wood
22,186.0,2.13,0.991,1.14,0.0,0.078,final,Centrale de chauffage PACE - air/eau (COPA 2.8),46.525821596244135,Heizzentrale EWP Luft/Wasser (JAZ 2.8),Central Heating Heat Pump air / water (COPA 2.8)
23,124.0,1.07,0.172,0.894,0.0,0.0408,final,Centrale de chauffage PACE - eaux usées (COPA 3.4),16.074766355140184,Heizzentrale EWP Abwasser (JAZ 3.4),Central Heating Heat Pump Wastewater (COPA 3.4)
24,155.0,1.99,1.03,0.963,0.0,0.062,final,Centrale de chauffage PACE - eaux souterraines (COPA 3.4),51.75879396984925,Heizzentrale EWP Grundwasser (JAZ 3.4),Central Heating Heat Pump groundwater (COPA 3.4)
25,139.0,1.9,1.05,0.849,0.0,0.0574,final,Centrale de chauffage PACE - sonde géothermique (COPA 3.9),55.26315789473685,Heizzentrale EWP Erdsonde (JAZ 3.9),Central Heating Heat Pump geothermal probe (COPA 3.9)
26,67.3,1.52,1.36,0.162,0.0,0.0207,final,Centrale de chauffage - géothermie,89.47368421052632,Heizzentrale Geothermie,Central heating  geothermal
27,47.6,0.59,0.465,0.125,0.0,0.0148,final,Centrale à cogénération - géothermie,78.81355932203391,Heizkraftwerk Geothermie,Cogeneration (CHP) plant  geothermal
28,47.6,0.59,0.465,0.125,0.0,0.0148,final,Centrale à cogénération - géothermie,78.81355932203391,Heizkraftwerk Geothermie,Cogeneration (CHP) plant - geothermal
29,103.0,3.36,3.17,0.191,0.0,0.0309,final,Centrale à cogénération - géothermie,94.34523809523809,Heizkraftwerk Geothermie,Cogeneration (CHP) plant  geothermal
30,103.0,3.36,3.17,0.191,0.0,0.0309,final,Centrale à cogénération - géothermie,94.34523809523809,Heizkraftwerk Geothermie,Cogeneration (CHP) plant - geothermal
31,7.31,0.0597,0.00931,0.0504,0.0,0.0027,final,Incinération des ordures ménagères,15.594639865996651,Kehrichtverbrennung,Incineration of household waste
