GER,FRA,ENG
LCA_UB,LCA_UB,LCA_UB
PE_Global,EP_Global,EP_Global
PE_Erneu,EP_Renouv,EP_Renew
PE_Nichtereu,EP_Nonrenouv,EP_Nonrenew
PE_Erneu_Vorort,EP_Renouv_Sursite,EP_Renew_Onsite
PE_Protzent_Erneu,EP_Pourcent_Renouv,EP_Percent_Renew
CO2,CO2,CO2
